 
,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
70,70,2022-03-17,@,ORL,W,134,120,47,94,.500,20,43,.465,20,31,.645,10,45,34,11,3,7,21,,47,97,.485,11,30,.367,15,21,.714,10,45,24,3,4,13,21
71,71,2022-03-19,@,CLE,L,109,113,41,85,.482,13,30,.433,14,19,.737,10,38,23,10,6,15,22,,45,88,.511,10,26,.385,13,23,.565,12,44,28,7,4,14,16
72,72,2022-03-21,,POR,L,115,119,36,85,.424,9,35,.257,34,41,.829,12,48,22,8,5,18,34,,37,88,.420,8,28,.286,37,49,.755,17,47,22,15,7,9,26
73,73,2022-03-23,,ATL,W,122,101,44,88,.500,12,33,.364,22,25,.880,9,54,30,10,4,15,19,,37,92,.402,14,44,.318,13,15,.867,9,40,21,8,3,14,17
74,74,2022-03-25,,WAS,L,97,100,39,95,.411,6,32,.188,13,14,.929,10,48,19,9,8,15,20,,36,83,.434,9,30,.300,19,21,.905,5,45,23,6,7,17,15
75,75,2022-03-27,,NYK,L,102,104,39,85,.459,8,29,.276,16,18,.889,9,37,23,8,5,10,21,,34,85,.400,13,41,.317,23,29,.793,13,51,19,8,8,12,16
76,76,2022-03-29,@,BRK,L,123,130,48,99,.485,16,38,.421,11,13,.846,16,39,28,11,4,12,25,,42,76,.553,15,28,.536,31,34,.912,8,41,24,9,6,19,19
77,77,2022-03-31,,PHI,W,102,94,41,82,.500,10,35,.286,10,15,.667,5,38,26,11,4,9,21,,31,69,.449,7,26,.269,25,28,.893,4,39,22,8,9,15,17
78,78,2022-04-01,@,OKC,W,110,101,40,94,.426,15,48,.313,15,18,.833,8,44,29,9,8,8,20,,36,84,.429,11,34,.324,18,29,.621,12,54,24,1,8,15,15
79,79,2022-04-03,@,IND,W,121,117,43,99,.434,21,41,.512,14,18,.778,10,38,31,11,4,11,19,,45,94,.479,12,38,.316,15,19,.789,17,58,33,6,11,19,21
80,80,2022-04-06,,DAL,L,113,131,35,82,.427,11,30,.367,32,35,.914,11,42,26,7,5,10,21,,45,80,.563,15,33,.455,26,34,.765,8,41,28,8,1,10,24
81,81,2022-04-08,,MIL,L,101,131,35,90,.389,10,48,.208,21,23,.913,9,43,27,6,5,11,22,,50,101,.495,11,37,.297,20,23,.870,10,51,29,7,1,7,20
82,82,2022-04-10,@,PHI,L,106,118,38,83,.458,11,34,.324,19,29,.655,15,42,26,4,4,19,16,,46,88,.523,5,25,.200,21,23,.913,10,42,25,13,6,10,23
