,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-26,@,WAS,W,117,96,123.8,101.6,94.5,.256,.360,.611,53.8,58.1,6.4,14.0,,.570,11.1,25.6,.221,,.433,7.3,74.1,.200
34,34,2021-12-28,@,TOR,W,114,109,122.4,117.0,93.1,.494,.390,.608,49.4,67.6,6.4,8.7,,.532,7.9,19.0,.416,,.523,9.4,79.1,.207
35,35,2021-12-30,@,BRK,W,110,102,113.4,105.2,97.0,.200,.320,.506,45.3,52.4,10.3,7.4,,.485,6.0,25.9,.130,,.500,15.5,70.7,.259
36,36,2022-01-03,,HOU,W,133,113,131.2,111.5,101.4,.177,.417,.643,56.3,66.0,6.9,15.6,,.609,10.4,27.9,.167,,.500,9.6,79.2,.270
37,37,2022-01-05,@,ORL,W,116,106,116.1,106.1,99.9,.282,.329,.607,47.2,60.5,8.0,7.8,,.576,13.6,23.3,.212,,.511,16.1,69.6,.156
38,38,2022-01-07,,SAS,W,119,100,121.4,102.0,98.0,.310,.264,.602,55.7,62.2,7.1,6.5,,.563,11.6,30.0,.241,,.462,10.6,77.1,.163
39,39,2022-01-10,@,HOU,W,111,91,112.4,92.1,98.8,.191,.372,.545,54.7,53.5,14.2,20.0,,.511,12.1,30.4,.160,,.474,18.4,82.5,.234
40,40,2022-01-12,,CHO,L,98,109,102.9,114.5,95.2,.384,.411,.574,44.0,52.9,3.2,5.5,,.548,15.8,7.9,.247,,.573,9.8,81.1,.079
41,41,2022-01-14,,BOS,W,111,99,114.7,102.3,96.8,.294,.482,.578,47.6,68.4,12.4,8.5,,.529,8.6,15.9,.247,,.545,18.9,82.5,.179
42,42,2022-01-15,@,MIA,W,109,98,114.9,103.3,94.9,.266,.405,.618,50.0,60.0,5.3,9.8,,.589,14.5,16.2,.203,,.436,9.2,75.5,.267
43,43,2022-01-17,@,WAS,L,98,117,98.8,118.0,99.2,.291,.302,.505,46.2,54.3,9.1,5.3,,.448,11.0,20.0,.244,,.534,10.6,78.0,.276
