,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
72,72,2023-03-22,,PHI,L,91,116,34,83,.410,6,25,.240,17,22,.773,15,42,18,7,4,19,16,,39,82,.476,16,37,.432,22,26,.846,11,44,30,9,4,15,22
73,73,2023-03-24,@,POR,W,124,96,48,84,.571,17,28,.607,11,14,.786,11,47,33,6,8,16,19,,37,86,.430,6,31,.194,16,18,.889,8,31,23,10,5,12,14
74,74,2023-03-26,@,LAL,W,118,108,47,87,.540,14,31,.452,10,13,.769,8,42,32,8,2,9,23,,38,75,.507,13,36,.361,19,28,.679,8,38,24,5,4,18,18
75,75,2023-03-27,@,LAC,L,112,124,44,82,.537,9,23,.391,15,21,.714,8,34,26,9,3,14,11,,48,81,.593,20,40,.500,8,16,.500,6,37,41,10,4,15,17
76,76,2023-03-29,,LAL,L,110,121,45,88,.511,9,33,.273,11,13,.846,6,32,31,10,4,14,22,,45,86,.523,7,20,.350,24,30,.800,13,45,22,10,3,15,14
77,77,2023-03-31,@,CHO,W,121,91,45,88,.511,13,31,.419,18,22,.818,9,42,25,12,4,7,13,,35,77,.455,14,37,.378,7,10,.700,4,36,27,3,5,21,21
78,78,2023-04-02,,MEM,W,128,107,50,94,.532,9,31,.290,19,22,.864,4,36,29,9,6,1,13,,39,84,.464,19,43,.442,10,12,.833,8,47,29,1,3,18,22
79,79,2023-04-04,,ATL,L,105,123,41,89,.461,7,31,.226,16,20,.800,6,32,16,8,6,8,18,,48,86,.558,10,28,.357,17,19,.895,7,48,26,5,7,16,18
80,80,2023-04-05,@,MIL,L,92,105,36,83,.434,11,33,.333,9,11,.818,5,38,28,10,3,15,11,,39,92,.424,18,46,.391,9,11,.818,13,53,26,7,3,12,13
81,81,2023-04-07,@,DAL,W,115,112,46,88,.523,11,31,.355,12,18,.667,8,50,24,6,4,12,15,,42,93,.452,18,55,.327,10,13,.769,7,43,23,7,3,9,15
82,82,2023-04-09,,DET,W,103,81,40,95,.421,6,30,.200,17,22,.773,11,48,21,15,7,3,16,,31,85,.365,9,33,.273,10,13,.769,15,59,20,1,3,24,16
