 
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-25,@,PHO,W,116,107,128.6,118.6,90.2,.247,.435,.615,53.2,66.7,12.2,13.2,,.576,8.7,30.0,.212,,.548,12.6,76.9,.193
34,34,2021-12-28,,DEN,L,86,89,94.0,97.3,91.5,.431,.444,.502,49.4,66.7,8.7,4.0,,.486,15.7,20.5,.222,,.458,14.0,72.9,.157
35,35,2022-01-01,@,UTA,W,123,116,122.9,115.9,100.1,.244,.372,.646,47.1,84.8,10.0,4.2,,.634,13.6,18.9,.163,,.511,11.1,68.8,.239
36,36,2022-01-03,,MIA,W,115,108,112.9,106.0,101.9,.141,.413,.588,46.7,86.7,10.8,12.5,,.565,10.9,15.6,.120,,.506,15.5,76.6,.189
37,37,2022-01-05,@,DAL,L,82,99,85.7,103.4,95.7,.198,.346,.466,50.0,60.6,10.4,10.6,,.438,15.4,18.2,.136,,.448,10.9,79.2,.241
38,38,2022-01-06,@,NOP,L,96,101,95.6,100.5,100.5,.207,.379,.506,48.3,59.5,11.9,12.2,,.466,12.9,17.4,.172,,.470,15.1,81.4,.277
39,39,2022-01-09,,CLE,W,96,82,105.7,90.3,90.8,.103,.433,.473,56.3,61.5,17.6,9.8,,.454,12.1,39.3,.082,,.473,17.8,80.0,.147
40,40,2022-01-11,@,MEM,L,108,116,102.7,110.3,105.2,.354,.439,.570,47.9,71.4,7.6,7.6,,.506,14.4,9.5,.305,,.510,9.2,78.8,.140
41,41,2022-01-13,@,MIL,L,99,118,94.1,112.2,105.2,.253,.505,.469,47.6,60.6,8.6,4.4,,.432,12.4,19.7,.179,,.616,14.6,88.1,.140
42,42,2022-01-14,@,CHI,W,138,96,142.6,99.2,96.8,.181,.447,.680,56.6,73.6,12.4,10.2,,.665,6.5,25.7,.138,,.483,12.9,79.2,.138
43,43,2022-01-16,@,MIN,L,99,119,95.0,114.2,104.2,.354,.512,.522,50.0,62.5,5.8,6.3,,.470,13.7,14.6,.268,,.582,13.1,87.0,.143
44,44,2022-01-18,,DET,W,102,86,106.3,89.7,95.9,.325,.506,.538,51.9,76.5,12.5,5.9,,.494,12.1,25.0,.241,,.406,14.3,78.8,.200
45,45,2022-01-20,,IND,L,117,121,107.4,111.1,98.6,.309,.447,.548,52.5,66.7,10.1,10.0,,.495,16.4,30.0,.255,,.511,11.3,74.5,.253
46,46,2022-01-21,,HOU,W,105,103,106.5,104.5,98.6,.272,.370,.579,51.3,64.1,4.1,16.7,,.543,15.8,18.4,.210,,.483,10.9,81.0,.191
47,47,2022-01-23,,UTA,W,94,92,114.3,111.9,82.2,.120,.506,.538,44.0,52.8,9.7,10.9,,.512,9.3,22.7,.108,,.451,9.0,63.8,.235
48,48,2022-01-25,,DAL,W,130,92,131.5,93.1,98.8,.196,.467,.651,59.8,63.3,8.1,3.9,,.625,12.3,29.3,.163,,.407,10.0,82.1,.198
49,49,2022-01-27,,MIN,W,124,115,123.3,114.3,100.6,.256,.439,.680,53.4,70.5,8.0,5.9,,.665,16.5,24.4,.183,,.495,7.8,78.7,.221
50,50,2022-01-29,,BRK,W,110,106,114.7,110.5,95.9,.184,.459,.519,51.4,60.0,8.3,11.4,,.480,8.6,32.0,.163,,.454,8.5,68.4,.173
51,51,2022-01-31,@,HOU,W,122,108,124.4,110.1,98.1,.288,.500,.677,52.6,53.5,10.2,19.5,,.644,13.4,20.0,.238,,.524,14.2,79.1,.238
52,52,2022-02-01,@,SAS,W,124,120,126.4,122.3,98.1,.188,.479,.597,57.5,69.8,10.2,6.0,,.552,11.9,34.1,.188,,.651,13.4,86.1,.145
53,53,2022-02-03,,SAC,W,126,114,131.5,119.0,95.8,.190,.500,.692,61.5,57.4,11.5,6.1,,.679,14.1,31.0,.143,,.594,14.3,86.1,.238
