,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-27,,MEM,L,113,114,116.4,117.5,97.0,.256,.344,.564,41.2,61.0,11.3,3.4,,.517,9.9,22.2,.222,,.574,15.9,62.5,.148
34,34,2021-12-29,,OKC,W,115,97,119.8,101.0,96.0,.315,.382,.568,55.4,53.7,7.3,11.5,,.528,12.1,36.7,.236,,.432,9.6,73.1,.146
35,35,2021-12-31,@,BOS,L,108,123,112.0,127.6,96.4,.160,.350,.504,42.0,48.8,10.4,3.6,,.465,7.8,28.3,.150,,.602,15.3,62.9,.277
36,36,2022-01-02,@,CHO,W,133,99,125.6,93.5,105.9,.117,.398,.614,60.9,69.2,14.2,8.0,,.587,13.6,32.6,.117,,.512,15.3,88.6,.141
37,37,2022-01-04,@,NOP,W,123,110,126.2,112.8,97.5,.235,.365,.656,46.7,69.6,7.2,8.9,,.641,9.6,13.2,.165,,.461,10.4,71.2,.315
38,38,2022-01-06,,LAC,W,106,89,108.9,91.4,97.4,.093,.290,.476,56.3,50.0,5.1,12.1,,.458,6.7,33.9,.075,,.395,11.0,84.0,.244
39,39,2022-01-08,,MIA,L,100,123,103.4,127.1,96.8,.367,.430,.545,41.7,80.0,10.3,2.3,,.468,14.1,13.6,.329,,.625,12.9,72.5,.148
40,40,2022-01-11,@,TOR,W,99,95,110.4,105.9,89.7,.297,.432,.592,45.3,71.4,11.1,3.8,,.547,19.3,28.6,.243,,.449,12.3,56.9,.169
41,41,2022-01-14,@,IND,W,112,94,115.5,97.0,96.9,.261,.318,.571,54.8,60.0,8.3,13.3,,.517,12.5,26.7,.239,,.460,11.1,81.3,.148
42,42,2022-01-16,@,DET,W,135,108,134.2,107.3,100.6,.345,.310,.674,61.4,58.8,4.0,12.3,,.649,12.3,28.9,.253,,.518,8.5,88.9,.280
