,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,2021-12-25,,DAL,W,120,116,40,90,.444,12,36,.333,28,37,.757,13,49,24,9,6,14,24,,38,89,.427,10,30,.333,30,35,.857,8,43,19,7,3,13,31
33,33,2021-12-27,@,SAS,W,110,104,39,86,.453,9,31,.290,23,30,.767,7,55,19,9,4,14,15,,45,100,.450,10,30,.333,4,9,.444,9,44,26,8,3,10,24
34,34,2021-12-29,@,POR,W,120,105,46,87,.529,8,29,.276,20,32,.625,13,46,22,6,3,11,20,,37,88,.420,14,40,.350,17,24,.708,11,45,23,6,3,10,28
35,35,2021-12-31,,MIN,W,120,108,37,78,.474,11,29,.379,35,41,.854,10,49,18,4,5,17,20,,40,93,.430,14,41,.341,14,22,.636,11,41,23,9,5,10,30
36,36,2022-01-01,,GSW,L,116,123,40,92,.435,14,44,.318,22,28,.786,15,45,19,7,0,13,21,,46,86,.535,17,32,.531,14,21,.667,7,40,39,10,2,15,24
37,37,2022-01-03,@,NOP,W,115,104,41,85,.482,19,39,.487,14,17,.824,10,43,22,6,4,14,24,,39,97,.402,12,46,.261,14,22,.636,17,47,21,7,5,10,21
38,38,2022-01-05,@,DEN,W,115,109,43,92,.467,14,41,.341,15,18,.833,8,44,22,7,4,7,18,,42,88,.477,11,36,.306,14,15,.933,6,42,27,2,4,12,21
39,39,2022-01-07,@,TOR,L,108,122,39,81,.481,17,38,.447,13,18,.722,7,40,23,3,4,21,21,,45,100,.450,12,41,.293,20,25,.800,19,48,26,11,7,7,17
40,40,2022-01-08,@,IND,L,113,125,40,84,.476,15,35,.429,18,19,.947,9,39,20,6,3,14,25,,44,80,.550,14,29,.483,23,32,.719,5,38,30,9,7,10,21
41,41,2022-01-10,@,DET,L,116,126,44,86,.512,11,33,.333,17,22,.773,10,40,23,9,4,16,16,,48,93,.516,19,37,.514,11,12,.917,9,39,30,9,7,11,20
42,42,2022-01-12,,CLE,L,91,111,34,85,.400,16,47,.340,7,11,.636,4,32,11,7,2,7,16,,43,81,.531,11,30,.367,14,17,.824,7,50,28,6,3,13,17
43,43,2022-01-16,@,DEN,W,125,102,44,84,.524,15,39,.385,22,29,.759,9,51,26,8,5,9,16,,42,95,.442,11,43,.256,7,8,.875,6,39,32,5,2,9,22
44,44,2022-01-17,@,LAL,L,95,101,31,83,.373,12,46,.261,21,24,.875,8,44,21,6,6,15,21,,38,86,.442,11,37,.297,14,23,.609,10,45,15,7,5,12,19
45,45,2022-01-19,,HOU,L,111,116,42,89,.472,10,38,.263,17,20,.850,11,49,26,7,5,9,16,,41,96,.427,22,45,.489,12,17,.706,12,44,24,4,3,8,18
46,46,2022-01-21,,DET,W,111,101,36,79,.456,10,31,.323,29,34,.853,7,44,22,3,7,10,21,,38,87,.437,13,32,.406,12,16,.750,9,40,22,6,4,10,24
47,47,2022-01-23,@,GSW,L,92,94,31,81,.383,11,35,.314,19,23,.826,17,51,17,7,2,9,13,,36,83,.434,13,42,.310,9,10,.900,10,40,19,8,5,9,19
48,48,2022-01-24,@,PHO,L,109,115,40,81,.494,14,31,.452,15,22,.682,7,38,16,11,3,13,15,,47,99,.475,13,36,.361,8,15,.533,18,51,28,10,5,14,17
49,49,2022-01-26,,PHO,L,97,105,34,79,.430,12,30,.400,17,23,.739,8,39,20,6,4,14,28,,40,82,.488,7,18,.389,18,27,.667,9,44,14,6,7,7,20
50,50,2022-01-28,@,MEM,L,109,119,37,85,.435,17,46,.370,18,21,.857,11,37,20,10,3,16,16,,46,82,.561,9,23,.391,18,24,.750,8,42,27,9,7,15,19
51,51,2022-01-30,@,MIN,L,106,126,38,81,.469,15,40,.375,15,21,.714,9,38,23,8,4,18,24,,49,89,.551,13,31,.419,15,18,.833,10,40,35,11,2,16,15
52,52,2022-02-02,,DEN,W,108,104,42,86,.488,7,29,.241,17,22,.773,8,37,21,8,4,7,12,,42,79,.532,11,28,.393,9,12,.750,7,39,24,5,7,14,20
53,53,2022-02-04,,BRK,W,125,102,48,85,.565,17,38,.447,12,14,.857,9,50,33,7,5,16,16,,41,99,.414,12,34,.353,8,11,.727,16,42,25,10,2,9,12
54,54,2022-02-07,,NYK,W,113,104,39,93,.419,12,48,.250,23,27,.852,14,49,19,6,6,10,26,,36,95,.379,8,33,.242,24,35,.686,20,56,18,8,3,16,23
55,55,2022-02-09,,GSW,W,111,85,41,89,.461,17,51,.333,12,17,.706,11,52,26,3,9,9,16,,28,78,.359,16,43,.372,13,17,.765,3,35,17,8,3,11,19
56,56,2022-02-11,,ORL,W,114,99,40,89,.449,13,41,.317,21,24,.875,11,50,22,15,5,15,14,,37,84,.440,13,35,.371,12,16,.750,9,40,23,12,5,18,15
57,57,2022-02-14,,HOU,W,135,101,49,89,.551,18,40,.450,19,22,.864,13,53,34,6,5,13,22,,35,83,.422,12,37,.324,19,28,.679,10,33,23,5,4,12,20
58,58,2022-02-16,@,LAL,L,101,106,37,79,.468,11,33,.333,16,19,.842,8,41,17,11,6,13,22,,41,86,.477,10,36,.278,14,22,.636,12,44,24,9,7,11,18
59,59,2022-02-25,,DAL,W,114,109,40,74,.541,16,38,.421,18,22,.818,9,44,22,9,4,18,14,,42,88,.477,17,39,.436,8,8,1.000,8,30,22,9,3,11,21
60,60,2022-02-27,@,PHO,W,118,114,44,94,.468,17,40,.425,13,20,.650,14,41,23,7,6,9,16,,44,86,.512,13,28,.464,13,16,.813,10,36,24,7,5,9,19
