,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-23,@,MIA,W,111,108,118.7,115.5,93.5,.169,.566,.622,53.1,65.0,5.3,9.7,,.608,15.2,26.5,.120,,.500,9.0,72.3,.137
34,34,2022-12-26,@,NOP,L,93,113,96.7,117.5,96.2,.241,.422,.507,40.0,65.7,9.4,10.0,,.476,12.4,13.6,.169,,.522,12.2,65.2,.211
35,35,2022-12-27,,ATL,W,129,114,126.0,111.4,102.4,.293,.380,.621,53.8,59.6,2.9,3.4,,.582,8.8,17.5,.239,,.517,8.1,82.4,.247
36,36,2022-12-29,,CLE,W,135,126,140.8,131.5,95.8,.247,.365,.716,42.1,58.3,6.3,11.8,,.676,7.8,12.9,.235,,.583,8.7,62.2,.146
37,37,2022-12-31,,LAC,W,131,130,131.5,130.5,99.6,.330,.432,.650,48.0,60.9,10.0,8.7,,.602,9.8,20.5,.284,,.638,13.9,77.8,.350
38,38,2023-01-02,,TOR,W,122,114,126.3,118.0,96.6,.280,.290,.584,58.1,53.3,4.1,4.1,,.538,10.3,38.5,.237,,.527,9.8,74.5,.198
39,39,2023-01-04,@,PHI,L,126,129,124.5,127.4,91.7,.274,.379,.592,49.5,68.9,6.9,12.9,,.542,10.9,28.9,.242,,.561,7.7,69.6,.194
40,40,2023-01-06,,POR,W,108,99,104.4,95.7,103.4,.333,.298,.561,44.1,57.9,10.6,9.8,,.494,11.1,9.1,.298,,.452,15.1,75.5,.149
41,41,2023-01-08,,CHO,W,116,111,111.4,106.6,104.2,.379,.437,.571,45.6,71.1,13.4,12.7,,.511,13.6,18.2,.310,,.494,15.3,71.7,.273
42,42,2023-01-11,@,NYK,L,113,119,113.7,119.8,99.4,.233,.433,.569,45.1,62.8,8.1,11.9,,.544,11.6,17.4,.167,,.542,10.9,73.3,.333
43,43,2023-01-13,,ATL,L,111,113,110.9,112.9,100.1,.287,.297,.488,50.5,60.0,8.0,14.8,,.431,9.5,34.5,.238,,.521,11.2,69.6,.160
44,44,2023-01-14,,MEM,L,112,130,102.5,119.0,109.2,.272,.456,.486,52.1,68.4,4.6,14.5,,.422,14.1,29.6,.243,,.621,13.1,82.5,.253
45,45,2023-01-16,@,MIL,L,119,132,118.8,131.8,100.1,.179,.476,.657,47.4,67.4,6.0,11.1,,.625,14.2,11.1,.167,,.654,11.8,78.6,.143
46,46,2023-01-18,@,OKC,L,106,126,103.2,122.7,102.7,.255,.351,.507,53.3,59.0,8.8,18.2,,.479,18.0,40.8,.170,,.591,14.3,68.3,.172
47,47,2023-01-20,@,DEN,L,111,134,112.0,135.1,99.2,.440,.381,.553,50.6,62.2,7.1,3.6,,.488,17.3,38.1,.345,,.699,14.5,65.7,.217
48,48,2023-01-21,@,PHO,L,107,112,101.3,106.0,105.6,.271,.385,.498,46.6,61.1,9.5,6.7,,.443,11.5,21.2,.229,,.484,12.4,72.5,.264
49,49,2023-01-24,,CHI,W,116,110,116.1,110.1,99.9,.283,.374,.521,50.0,57.1,9.0,15.6,,.475,5.1,29.2,.222,,.517,13.9,73.8,.216
50,50,2023-01-25,@,ORL,L,120,126,123.1,129.3,97.5,.341,.412,.614,48.5,61.0,14.4,9.3,,.571,12.5,28.6,.271,,.652,15.5,71.0,.232
51,51,2023-01-27,,MIL,L,131,141,119.2,128.3,109.9,.315,.371,.646,43.2,44.9,9.1,7.3,,.624,11.4,12.2,.225,,.622,12.5,70.2,.194
52,52,2023-01-29,@,MEM,L,100,112,112.4,125.9,89.0,.266,.405,.567,48.1,58.3,4.5,11.5,,.513,16.2,29.7,.241,,.534,6.6,64.3,.191
53,53,2023-02-02,,LAL,L,111,112,106.4,107.3,104.3,.065,.441,.580,47.4,66.7,7.7,8.6,,.570,14.3,13.6,.054,,.489,11.0,75.5,.239
54,54,2023-02-03,,SAC,W,107,104,106.1,103.1,100.9,.157,.461,.562,49.0,70.0,12.9,10.4,,.545,14.4,19.1,.112,,.506,16.7,77.6,.198
55,55,2023-02-05,,CLE,L,103,122,104.4,123.6,98.7,.239,.348,.506,47.7,70.0,3.0,11.8,,.478,11.3,24.0,.163,,.608,11.2,78.9,.170
56,56,2023-02-08,@,MIA,L,111,116,120.8,126.3,91.9,.359,.423,.614,39.2,63.2,3.3,8.3,,.583,10.9,13.2,.256,,.506,10.3,63.4,.456
57,57,2023-02-10,,PHO,L,104,117,107.3,120.7,96.9,.329,.459,.534,41.8,63.9,9.3,5.0,,.488,13.4,24.4,.247,,.516,12.7,58.7,.226
58,58,2023-02-11,@,WAS,L,113,127,125.8,141.4,89.8,.179,.421,.551,45.2,62.8,8.9,6.1,,.526,6.4,34.7,.137,,.720,15.9,66.7,.253
59,59,2023-02-13,,UTA,L,117,123,117.0,123.1,100.0,.220,.374,.586,41.0,65.2,11.0,13.5,,.566,9.9,18.6,.154,,.594,15.8,68.6,.259
60,60,2023-02-15,,CHI,W,117,113,117.5,113.5,99.6,.268,.524,.638,51.9,69.2,6.0,10.2,,.585,15.6,15.8,.256,,.577,12.2,85.4,.190
61,61,2023-02-23,,BOS,L,138,142,132.9,136.8,94.0,.234,.521,.666,42.0,67.3,9.6,8.3,,.638,11.9,24.4,.191,,.606,12.0,57.4,.222
62,62,2023-02-25,@,ORL,W,121,108,120.3,107.3,100.6,.141,.404,.575,45.0,72.9,8.9,13.1,,.561,6.2,20.0,.101,,.422,10.9,70.0,.356
63,63,2023-02-28,@,DAL,W,124,122,126.0,124.0,98.4,.513,.359,.649,51.9,61.0,3.0,14.8,,.596,8.6,14.7,.397,,.571,6.3,80.0,.198
64,64,2023-03-02,@,SAS,L,99,110,97.3,108.1,101.8,.122,.256,.522,44.4,56.1,10.8,12.1,,.500,12.9,14.0,.100,,.510,12.6,72.3,.102
65,65,2023-03-05,@,CHI,W,125,122,133.4,130.2,93.7,.170,.468,.619,51.5,56.3,5.3,11.5,,.596,8.2,31.0,.138,,.676,14.1,84.6,.297
66,66,2023-03-06,,PHI,L,143,147,137.5,141.3,104.0,.344,.411,.690,45.5,52.8,7.7,8.3,,.672,8.0,13.9,.244,,.683,10.0,83.3,.427
67,67,2023-03-09,,HOU,W,134,125,121.1,112.9,100.2,.210,.450,.613,42.0,70.8,10.8,16.7,,.570,9.1,17.4,.200,,.486,11.8,63.0,.196
68,68,2023-03-11,@,DET,W,121,115,118.2,112.3,102.4,.366,.376,.560,58.0,55.8,6.8,10.0,,.511,11.5,37.5,.280,,.516,10.2,76.9,.191
69,69,2023-03-13,@,DET,L,97,117,101.9,122.9,95.2,.279,.395,.502,44.7,63.9,7.4,7.8,,.477,12.7,28.3,.174,,.550,11.8,60.4,.070
70,70,2023-03-16,@,MIL,W,139,123,136.0,120.3,102.2,.155,.474,.671,48.8,66.7,4.9,5.3,,.670,7.2,18.6,.093,,.590,10.7,79.1,.202
71,71,2023-03-18,,PHI,L,121,141,126.3,147.2,95.8,.230,.356,.632,57.7,62.2,5.2,9.4,,.586,12.8,33.3,.218,,.699,6.7,82.9,.205
