,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-23,@,LAL,W,134,130,127.9,124.1,104.7,.191,.436,.657,49.4,57.7,10.5,10.4,,.638,13.6,26.8,.149,,.625,14.3,71.4,.163
34,34,2022-12-26,@,POR,L,113,124,110.7,121.5,102.1,.243,.350,.496,47.4,61.0,7.8,6.3,,.456,9.5,31.0,.184,,.581,13.2,73.0,.279
35,35,2022-12-27,@,GSW,L,105,110,99.6,104.3,105.5,.272,.413,.510,49.0,57.9,5.7,12.1,,.467,10.4,18.4,.207,,.474,11.7,80.9,.211
36,36,2022-12-29,,OKC,W,121,113,116.8,109.1,103.6,.345,.381,.625,55.9,71.7,7.7,17.5,,.607,14.9,28.6,.226,,.480,10.0,78.4,.182
37,37,2022-12-31,,BRK,L,106,123,106.1,123.1,99.9,.219,.427,.504,51.7,73.7,7.0,4.3,,.453,10.2,25.9,.198,,.681,13.7,93.9,.175
38,38,2023-01-02,,LAL,L,115,121,104.7,110.2,109.8,.312,.344,.544,47.0,57.1,7.3,11.1,,.511,11.7,15.4,.215,,.538,11.6,81.3,.226
39,39,2023-01-04,,MEM,L,107,131,99.2,121.4,107.9,.255,.404,.512,42.7,65.8,10.2,12.5,,.463,10.3,17.2,.213,,.548,11.3,75.6,.298
40,40,2023-01-06,@,MIL,W,138,109,140.2,110.8,98.4,.186,.471,.625,52.1,60.4,11.2,8.3,,.618,4.3,28.3,.118,,.560,14.5,75.0,.179
41,41,2023-01-08,@,IND,L,111,116,106.6,111.4,104.2,.307,.375,.556,54.4,65.8,7.7,8.2,,.494,15.3,28.3,.273,,.511,13.6,81.8,.310
42,42,2023-01-10,@,TOR,L,120,132,127.8,140.6,93.9,.174,.407,.648,41.0,70.2,6.4,8.5,,.634,8.9,16.2,.128,,.604,9.7,60.9,.242
43,43,2023-01-12,@,TOR,L,114,124,115.5,125.7,98.7,.351,.429,.641,56.8,65.9,6.1,9.1,,.617,19.8,27.3,.247,,.578,8.3,80.5,.337
44,44,2023-01-14,,BOS,L,106,122,112.1,129.1,94.5,.216,.307,.550,50.0,51.2,3.2,4.3,,.511,10.2,23.8,.182,,.571,6.3,72.0,.091
45,45,2023-01-16,,BOS,L,118,130,128.8,141.9,91.6,.333,.344,.572,44.7,63.4,7.6,4.5,,.528,4.6,28.3,.256,,.609,10.1,64.1,.276
46,46,2023-01-18,@,HOU,W,122,117,118.7,113.9,102.8,.260,.375,.570,44.0,56.3,13.6,16.9,,.547,7.8,23.9,.177,,.560,16.0,68.4,.165
47,47,2023-01-21,@,ATL,W,122,118,120.2,116.3,101.5,.247,.382,.618,47.4,62.2,10.8,3.4,,.579,10.8,15.0,.213,,.608,14.8,83.3,.205
48,48,2023-01-23,@,UTA,L,102,120,100.7,118.4,101.3,.400,.188,.510,47.7,57.9,7.9,15.2,,.459,12.3,22.9,.282,,.570,14.1,77.5,.256
49,49,2023-01-24,@,PHO,L,97,128,95.4,125.8,101.7,.188,.260,.467,42.1,48.7,9.8,9.1,,.438,11.1,20.0,.135,,.617,14.6,66.7,.128
50,50,2023-01-26,,CHI,W,111,96,106.4,92.0,104.3,.369,.381,.568,54.7,61.5,7.7,7.6,,.506,12.5,14.3,.310,,.429,11.4,86.8,.198
51,51,2023-01-29,,MIA,W,122,117,122.2,117.1,99.9,.265,.482,.658,56.6,55.6,6.0,4.8,,.633,17.0,29.7,.205,,.538,8.8,78.3,.183
52,52,2023-01-31,@,MIL,L,115,124,103.2,111.2,111.5,.234,.351,.470,48.4,64.3,5.4,9.8,,.428,8.2,26.5,.180,,.481,9.3,73.3,.219
53,53,2023-02-02,@,CHI,L,98,114,104.6,121.7,93.7,.161,.376,.492,52.9,48.7,6.4,7.8,,.457,12.3,33.3,.140,,.589,12.6,78.4,.266
54,54,2023-02-03,@,DET,L,112,118,106.7,112.4,105.0,.333,.378,.543,42.0,55.0,15.2,3.7,,.494,11.2,17.0,.256,,.593,18.6,70.7,.186
55,55,2023-02-05,,ORL,L,113,119,115.8,121.9,97.6,.277,.398,.607,42.9,62.2,8.2,8.8,,.614,13.9,19.0,.133,,.505,10.3,63.3,.297
56,56,2023-02-08,@,WAS,L,104,118,108.3,122.8,96.1,.226,.333,.509,43.5,59.0,11.4,10.0,,.468,6.4,22.6,.183,,.592,14.5,71.8,.172
57,57,2023-02-10,@,BOS,L,116,127,110.6,121.1,104.9,.280,.247,.555,52.2,57.8,8.6,17.6,,.527,11.1,22.4,.194,,.635,13.5,87.8,.157
58,58,2023-02-11,,DEN,L,105,119,100.6,114.0,104.4,.341,.376,.537,42.0,62.5,10.5,10.5,,.518,12.5,11.9,.200,,.530,11.6,69.6,.141
59,59,2023-02-13,,ATL,W,144,138,133.6,128.0,107.8,.274,.440,.765,45.5,67.9,4.6,6.3,,.750,15.3,10.3,.214,,.542,9.3,66.7,.194
60,60,2023-02-15,,SAS,W,120,110,112.1,102.7,107.1,.302,.365,.552,50.0,60.5,7.5,17.4,,.521,12.1,28.3,.208,,.444,11.5,68.3,.140
61,61,2023-02-24,@,MIN,W,121,113,115.5,107.9,104.7,.304,.304,.580,53.6,58.1,9.5,6.7,,.522,9.5,22.4,.272,,.554,13.0,85.4,.108
62,62,2023-02-25,,MIA,W,108,103,106.7,101.8,101.2,.307,.352,.541,53.3,52.6,9.9,4.5,,.489,13.1,23.9,.250,,.469,14.4,84.1,.350
63,63,2023-02-27,,DET,W,117,106,116.8,105.8,100.2,.265,.313,.631,54.1,55.8,8.0,4.5,,.596,14.7,19.4,.217,,.473,8.0,79.6,.207
64,64,2023-03-01,,PHO,L,91,105,91.0,105.0,100.0,.318,.375,.454,50.0,62.5,3.0,10.9,,.415,11.5,21.8,.205,,.522,11.2,87.8,.135
65,65,2023-03-03,,ORL,L,106,117,107.6,118.7,98.5,.321,.308,.596,44.7,65.8,11.2,6.7,,.545,19.1,21.6,.269,,.593,16.0,66.7,.174
66,66,2023-03-05,@,BRK,L,86,102,88.4,104.8,97.3,.170,.341,.455,48.5,51.5,2.1,6.1,,.420,9.6,10.2,.136,,.457,4.7,84.6,.196
67,67,2023-03-07,@,NYK,W,112,105,120.9,113.4,92.6,.247,.376,.594,51.9,64.3,2.2,10.2,,.565,9.6,25.6,.188,,.489,7.4,76.2,.202
68,68,2023-03-09,@,DET,W,113,103,116.1,105.8,97.3,.372,.279,.565,47.8,55.8,11.3,13.2,,.547,10.7,29.5,.221,,.489,16.3,64.6,.180
69,69,2023-03-11,,UTA,L,111,119,113.2,121.3,98.1,.153,.408,.531,41.7,60.0,5.1,19.7,,.495,6.3,21.6,.143,,.490,9.0,61.5,.175
70,70,2023-03-12,,CLE,L,108,114,108.7,114.7,99.4,.275,.263,.602,51.8,61.0,8.0,8.3,,.575,17.5,19.4,.200,,.511,8.9,76.6,.287
71,71,2023-03-14,,CLE,L,104,120,110.5,127.5,94.1,.197,.303,.630,57.1,65.1,3.2,13.8,,.605,18.7,21.4,.158,,.591,7.7,81.0,.182
72,72,2023-03-17,,PHI,L,82,121,81.9,120.9,100.1,.302,.407,.421,36.1,69.0,10.0,10.0,,.366,11.8,12.7,.221,,.554,11.2,66.7,.207
73,73,2023-03-20,,IND,W,115,109,113.2,107.3,101.6,.356,.344,.552,43.5,63.4,11.8,10.7,,.511,9.6,22.2,.256,,.506,17.8,67.5,.317
74,74,2023-03-23,@,NOP,L,96,115,94.5,113.2,101.6,.193,.446,.533,42.2,63.2,7.9,6.3,,.512,15.9,8.9,.133,,.515,9.5,75.6,.143
75,75,2023-03-24,@,DAL,W,117,109,118.6,110.5,98.7,.303,.315,.580,48.9,74.4,7.1,8.3,,.545,7.3,13.6,.225,,.542,9.6,84.1,.214
76,76,2023-03-26,,DAL,W,110,104,113.7,107.5,96.8,.273,.330,.558,61.1,69.2,6.2,5.7,,.511,12.4,29.2,.227,,.494,7.9,93.6,.250
77,77,2023-03-28,@,OKC,W,137,134,124.3,121.6,110.2,.319,.372,.639,57.1,65.4,5.4,10.6,,.628,14.4,31.9,.202,,.578,9.2,84.1,.240
78,78,2023-03-31,,CHI,L,91,121,95.4,126.8,95.4,.130,.481,.559,46.2,77.1,3.1,8.8,,.545,20.5,10.8,.091,,.585,6.7,78.0,.205
79,79,2023-04-02,,TOR,L,108,128,112.8,133.6,95.8,.153,.365,.595,45.1,61.9,3.1,5.3,,.582,15.8,25.0,.106,,.577,6.1,64.3,.077
80,80,2023-04-04,,TOR,L,100,120,105.8,127.0,94.5,.247,.403,.586,50.6,75.0,3.2,7.3,,.545,16.6,16.2,.208,,.563,5.6,78.3,.239
81,81,2023-04-07,,HOU,L,109,112,103.7,106.6,105.1,.307,.466,.546,46.1,57.9,9.5,13.2,,.506,14.5,17.1,.227,,.511,15.1,70.8,.236
82,82,2023-04-09,@,CLE,W,106,95,106.7,95.6,99.4,.370,.395,.563,52.7,62.2,8.1,9.6,,.494,16.0,23.3,.321,,.449,14.3,78.0,.169
