,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-27,@,SAC,W,113,106,117.8,110.5,95.9,.244,.430,.593,50.6,82.9,12.5,6.4,,.552,12.0,24.4,.209,,.549,15.0,78.9,.195
34,34,2022-12-28,@,SAC,L,126,127,127.8,128.8,98.6,.212,.318,.678,50.0,63.3,6.1,13.8,,.647,14.7,23.3,.188,,.607,10.7,71.1,.213
35,35,2022-12-30,,MIA,W,124,119,124.7,119.7,99.4,.289,.368,.724,50.0,75.6,6.0,1.9,,.704,18.9,16.7,.224,,.529,12.3,73.8,.310
36,36,2023-01-01,,BOS,W,123,111,124.0,111.9,99.2,.228,.380,.708,46.1,68.9,5.0,7.4,,.677,13.9,3.1,.203,,.511,11.6,77.3,.253
37,37,2023-01-02,@,MIN,L,111,124,117.4,131.1,94.6,.220,.319,.556,52.3,64.3,8.5,2.0,,.522,12.3,37.5,.176,,.592,10.0,71.1,.241
38,38,2023-01-05,,LAC,W,122,91,124.1,92.6,98.3,.236,.404,.621,58.2,62.2,6.1,9.3,,.584,10.1,23.3,.202,,.401,6.4,85.5,.198
39,39,2023-01-06,,CLE,W,121,108,136.9,122.2,88.4,.284,.432,.664,55.1,65.1,5.7,6.5,,.636,11.6,37.1,.222,,.511,5.6,66.7,.205
40,40,2023-01-09,,LAL,W,122,109,116.1,103.7,105.1,.172,.424,.573,55.6,63.0,6.7,16.9,,.540,13.8,29.8,.152,,.484,11.1,78.8,.204
41,41,2023-01-11,,PHO,W,126,97,133.0,102.4,94.8,.247,.400,.669,46.3,62.5,9.5,6.9,,.653,9.6,19.4,.176,,.483,14.3,67.4,.111
42,42,2023-01-13,@,LAC,W,115,103,125.1,112.0,91.9,.305,.402,.618,50.0,58.5,7.6,6.9,,.585,9.7,23.8,.232,,.529,11.4,75.0,.126
43,43,2023-01-15,,ORL,W,119,116,120.5,117.4,98.8,.213,.438,.611,51.3,66.7,10.1,9.1,,.612,13.3,29.3,.112,,.530,11.6,74.4,.321
44,44,2023-01-17,,POR,W,122,113,123.9,114.8,98.4,.318,.364,.608,54.5,72.7,8.1,14.0,,.563,9.9,26.8,.261,,.536,12.1,86.1,.289
45,45,2023-01-18,,MIN,W,122,118,123.8,119.7,98.6,.376,.247,.616,48.6,60.0,10.1,4.1,,.576,12.4,25.0,.282,,.593,15.4,68.4,.272
46,46,2023-01-20,,IND,W,134,111,135.1,112.0,99.2,.313,.337,.709,49.4,74.5,16.1,7.7,,.699,14.5,34.3,.217,,.488,17.3,61.9,.345
47,47,2023-01-22,,OKC,L,99,101,109.4,111.6,90.5,.402,.341,.513,45.7,61.1,7.7,7.9,,.500,8.5,21.7,.207,,.489,7.7,69.6,.157
48,48,2023-01-24,@,NOP,W,99,98,110.9,109.8,89.2,.163,.413,.577,44.2,69.2,9.0,8.5,,.556,12.3,19.4,.125,,.476,13.0,65.9,.200
