,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
73,73,2023-03-24,@,GSW,L,112,120,38,78,.487,8,29,.276,28,34,.824,4,38,23,8,1,10,20,,42,88,.477,18,50,.360,18,24,.750,10,49,27,3,0,11,21
74,74,2023-03-25,@,PHO,L,105,125,34,78,.436,13,31,.419,24,27,.889,8,36,21,3,7,12,16,,47,93,.505,15,32,.469,16,19,.842,13,45,35,4,9,7,22
75,75,2023-03-27,@,DEN,L,111,116,43,89,.483,8,30,.267,17,22,.773,11,40,18,10,3,11,20,,43,85,.506,11,32,.344,19,22,.864,10,42,34,8,4,12,16
76,76,2023-03-29,,DAL,W,116,108,37,80,.463,17,36,.472,25,30,.833,11,43,26,9,4,10,19,,38,83,.458,18,46,.391,14,18,.778,8,40,24,3,3,14,22
77,77,2023-03-31,,TOR,W,117,110,41,73,.562,12,31,.387,23,25,.920,9,37,28,7,6,16,20,,42,84,.500,8,26,.308,18,23,.783,14,34,26,6,3,13,19
78,78,2023-04-02,@,MIL,L,104,117,40,87,.460,12,36,.333,12,13,.923,11,36,19,3,2,11,17,,46,80,.575,10,28,.357,15,21,.714,7,42,28,8,5,9,17
79,79,2023-04-04,,BOS,W,103,101,39,78,.500,11,29,.379,14,16,.875,6,37,21,3,7,10,21,,38,91,.418,15,45,.333,10,16,.625,13,43,28,4,4,8,17
80,80,2023-04-06,,MIA,L,101,129,39,76,.513,10,36,.278,13,15,.867,3,32,23,7,4,15,18,,49,88,.557,18,39,.462,13,15,.867,10,42,39,3,0,10,13
81,81,2023-04-07,@,ATL,W,136,131,51,102,.500,11,22,.500,23,29,.793,13,52,33,10,2,20,22,,51,92,.554,10,33,.303,19,28,.679,4,38,32,11,7,20,19
82,82,2023-04-09,@,BRK,W,134,105,53,101,.525,14,32,.438,14,19,.737,13,50,31,10,5,13,23,,35,83,.422,12,32,.375,23,28,.821,10,42,22,6,6,18,22
