,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,2022-12-23,@,ORL,L,113,133,44,97,.454,12,38,.316,13,18,.722,13,38,28,10,6,13,18,,50,87,.575,17,32,.531,16,20,.800,7,44,30,8,2,17,15
33,33,2022-12-26,,UTA,W,126,122,48,87,.552,6,18,.333,24,34,.706,6,41,27,11,8,14,25,,39,97,.402,13,43,.302,31,37,.838,16,45,20,10,3,12,22
34,34,2022-12-27,@,OKC,L,114,130,46,99,.465,10,29,.345,12,14,.857,16,41,20,9,4,14,21,,46,86,.535,13,24,.542,25,31,.806,13,45,25,10,10,12,18
35,35,2022-12-29,,NYK,W,122,115,45,88,.511,11,28,.393,21,29,.724,14,48,25,5,7,11,23,,38,90,.422,15,41,.366,24,31,.774,13,38,20,7,2,12,21
36,36,2022-12-31,,DAL,L,125,126,47,85,.553,8,19,.421,23,32,.719,15,48,28,1,0,13,21,,50,86,.581,14,34,.412,12,21,.571,6,26,21,5,3,5,24
37,37,2023-01-02,@,BRK,L,103,139,42,97,.433,8,31,.258,11,18,.611,15,43,26,5,4,18,13,,58,93,.624,11,20,.550,12,15,.800,7,45,31,13,7,12,16
38,38,2023-01-04,@,NYK,L,114,117,41,82,.500,11,28,.393,21,26,.808,9,38,25,5,3,15,24,,45,94,.479,10,31,.323,17,26,.654,14,47,16,7,6,12,21
39,39,2023-01-06,,DET,W,121,109,45,81,.556,9,24,.375,22,26,.846,7,44,27,8,4,17,16,,44,93,.473,11,31,.355,10,17,.588,15,37,23,11,0,15,22
40,40,2023-01-07,,BOS,L,116,121,49,100,.490,7,25,.280,11,14,.786,12,51,25,6,3,13,20,,47,95,.495,15,34,.441,12,18,.667,8,43,30,6,10,14,15
41,41,2023-01-09,@,MEM,L,113,121,44,97,.454,11,32,.344,14,16,.875,12,42,28,8,1,14,24,,45,91,.495,11,26,.423,20,35,.571,11,50,26,9,7,13,15
42,42,2023-01-11,@,MEM,L,129,135,50,107,.467,11,34,.324,18,23,.783,17,48,33,7,11,12,18,,52,101,.515,14,22,.636,17,25,.680,17,57,19,6,8,13,17
43,43,2023-01-13,,GSW,L,113,144,40,88,.455,8,22,.364,25,34,.735,7,38,26,6,3,15,19,,55,101,.545,18,48,.375,16,20,.800,12,55,33,9,6,12,26
44,44,2023-01-15,,SAC,L,119,132,48,93,.516,10,26,.385,13,20,.650,11,40,27,1,3,10,21,,49,89,.551,14,30,.467,20,25,.800,7,38,24,5,2,5,19
45,45,2023-01-17,,BRK,W,106,98,37,97,.381,7,34,.206,25,28,.893,13,54,23,12,4,15,22,,37,88,.420,3,23,.130,21,24,.875,10,49,22,10,8,21,26
46,46,2023-01-20,,LAC,L,126,131,51,89,.573,14,26,.538,10,14,.714,12,34,34,3,1,6,15,,51,81,.630,15,28,.536,14,20,.700,11,32,31,4,2,9,13
47,47,2023-01-23,@,POR,L,127,147,47,90,.522,13,27,.481,20,26,.769,14,40,30,7,4,15,18,,55,92,.598,20,33,.606,17,22,.773,8,36,34,11,4,9,16
48,48,2023-01-25,@,LAL,L,104,113,40,106,.377,8,34,.235,16,18,.889,17,48,22,11,2,14,19,,40,90,.444,10,33,.303,23,30,.767,11,56,25,12,9,19,13
49,49,2023-01-26,@,LAC,L,100,138,37,82,.451,8,24,.333,18,28,.643,11,42,24,2,1,12,18,,52,89,.584,18,38,.474,16,21,.762,6,37,26,9,9,5,21
50,50,2023-01-28,,PHO,L,118,128,48,109,.440,10,29,.345,12,17,.706,17,53,32,6,4,13,20,,50,103,.485,8,24,.333,20,26,.769,17,52,31,7,6,9,19
51,51,2023-01-30,,WAS,L,106,127,42,97,.433,7,29,.241,15,23,.652,14,43,26,6,6,10,20,,48,86,.558,16,30,.533,15,17,.882,5,45,32,7,8,13,19
52,52,2023-02-01,,SAC,L,109,119,48,88,.545,8,24,.333,5,7,.714,8,40,30,5,1,18,17,,48,90,.533,8,27,.296,15,19,.789,6,34,25,10,3,9,13
53,53,2023-02-03,,PHI,L,125,137,52,89,.584,7,21,.333,14,15,.933,9,35,32,8,0,18,25,,46,87,.529,13,27,.481,32,41,.780,14,39,28,11,3,10,13
54,54,2023-02-06,@,CHI,L,104,128,40,90,.444,8,26,.308,16,17,.941,6,38,25,7,3,18,23,,50,89,.562,6,22,.273,22,25,.880,7,49,27,10,6,13,12
55,55,2023-02-08,@,TOR,L,98,112,35,87,.402,9,32,.281,19,27,.704,7,39,24,11,4,12,18,,43,88,.489,10,28,.357,16,21,.762,9,51,21,11,7,16,19
56,56,2023-02-10,@,DET,L,131,138,45,107,.421,14,42,.333,27,34,.794,13,51,21,7,3,17,32,,46,107,.430,7,37,.189,39,49,.796,21,62,29,6,5,15,29
57,57,2023-02-11,@,ATL,L,106,125,40,94,.426,11,37,.297,15,17,.882,14,49,25,9,5,19,17,,50,103,.485,10,26,.385,15,19,.789,14,48,29,9,6,10,10
58,58,2023-02-13,@,CLE,L,109,117,43,85,.506,8,21,.381,15,20,.750,11,35,27,10,1,16,21,,44,78,.564,9,28,.321,20,25,.800,11,36,21,8,6,14,16
59,59,2023-02-15,@,CHO,L,110,120,41,107,.383,13,38,.342,15,20,.750,20,58,24,7,6,15,24,,43,96,.448,14,35,.400,20,29,.690,15,58,26,8,12,15,17
60,60,2023-02-23,@,DAL,L,116,142,45,86,.523,10,25,.400,16,23,.696,10,45,30,4,1,16,25,,46,82,.561,22,42,.524,28,36,.778,3,36,27,10,5,6,18
61,61,2023-02-25,@,UTA,L,102,118,38,97,.392,9,34,.265,17,21,.810,9,41,21,5,6,9,21,,43,92,.467,10,28,.357,22,28,.786,15,56,29,5,11,14,16
62,62,2023-02-28,@,UTA,W,102,94,39,91,.429,8,26,.308,16,25,.640,9,45,23,9,5,12,22,,30,85,.353,10,34,.294,24,36,.667,14,52,15,8,9,20,15
63,63,2023-03-02,,IND,W,110,99,45,98,.459,10,32,.313,10,13,.769,13,50,31,5,6,15,14,,41,90,.456,8,23,.348,9,11,.818,6,40,23,11,8,14,18
64,64,2023-03-04,,HOU,L,110,122,38,86,.442,15,37,.405,19,20,.950,13,42,24,9,3,14,20,,49,87,.563,8,23,.348,16,22,.727,14,45,26,9,5,14,24
65,65,2023-03-05,@,HOU,L,110,142,43,93,.462,11,34,.324,13,21,.619,13,35,23,5,4,15,20,,52,85,.612,13,24,.542,25,29,.862,6,44,29,10,3,12,20
66,66,2023-03-10,,DEN,W,128,120,51,94,.543,13,33,.394,13,17,.765,13,50,31,10,0,18,20,,44,90,.489,13,35,.371,19,20,.950,8,33,32,14,4,14,14
67,67,2023-03-12,,OKC,L,90,102,33,88,.375,10,36,.278,14,19,.737,10,50,24,3,7,18,18,,36,95,.379,10,39,.256,20,23,.870,12,55,26,8,3,9,19
68,68,2023-03-14,,ORL,W,132,114,48,85,.565,22,41,.537,14,18,.778,7,47,39,6,7,14,17,,44,97,.454,10,29,.345,16,21,.762,13,42,24,7,2,9,16
69,69,2023-03-15,,DAL,L,128,137,49,107,.458,15,34,.441,15,26,.577,16,47,26,7,4,10,30,,44,86,.512,17,33,.515,32,37,.865,10,52,23,4,4,18,25
70,70,2023-03-17,,MEM,L,120,126,39,98,.398,20,52,.385,22,29,.759,16,54,31,11,4,19,19,,49,101,.485,14,38,.368,14,21,.667,15,52,27,13,9,17,24
71,71,2023-03-19,,ATL,W,126,118,51,94,.543,14,28,.500,10,16,.625,10,41,26,9,5,12,18,,48,101,.475,5,22,.227,17,20,.850,20,51,21,4,4,12,13
72,72,2023-03-21,@,NOP,L,84,119,30,87,.345,13,41,.317,11,19,.579,10,37,22,8,3,14,19,,45,81,.556,10,24,.417,19,23,.826,5,49,31,8,2,16,19
73,73,2023-03-22,@,MIL,L,94,130,36,93,.387,9,39,.231,13,20,.650,8,46,26,7,6,19,21,,51,98,.520,15,43,.349,13,24,.542,10,54,24,10,4,15,14
74,74,2023-03-24,@,WAS,L,124,136,51,101,.505,13,38,.342,9,15,.600,11,41,35,4,4,5,21,,51,85,.600,15,30,.500,19,26,.731,6,43,29,3,8,7,16
75,75,2023-03-26,@,BOS,L,93,137,36,97,.371,8,36,.222,13,18,.722,3,38,22,7,0,10,16,,52,91,.571,18,44,.409,15,21,.714,9,61,29,4,11,14,18
76,76,2023-03-29,,UTA,L,117,128,45,95,.474,10,35,.286,17,21,.810,9,39,31,10,4,15,16,,49,90,.544,12,31,.387,18,20,.900,8,45,28,5,6,16,17
77,77,2023-03-31,@,GSW,L,115,130,42,91,.462,15,38,.395,16,23,.696,14,46,27,8,4,13,20,,47,93,.505,21,49,.429,15,21,.714,14,45,37,5,4,14,18
78,78,2023-04-02,@,SAC,W,142,134,52,98,.531,13,34,.382,25,29,.862,14,52,31,8,3,17,25,,49,103,.476,11,44,.250,25,32,.781,13,43,24,9,5,15,23
79,79,2023-04-04,@,PHO,L,94,115,35,90,.389,13,40,.325,11,14,.786,9,38,25,7,5,12,16,,43,89,.483,10,33,.303,19,26,.731,15,57,25,7,7,13,12
80,80,2023-04-06,,POR,W,129,127,47,106,.443,10,35,.286,25,28,.893,18,47,29,9,4,14,12,,51,96,.531,10,28,.357,15,18,.833,8,36,34,7,14,15,22
81,81,2023-04-08,,MIN,L,131,151,50,95,.526,13,29,.448,18,24,.750,10,45,34,5,4,13,16,,56,101,.554,24,43,.558,15,21,.714,11,45,42,8,8,7,18
82,82,2023-04-09,@,DAL,W,138,117,51,104,.490,15,38,.395,21,30,.700,13,69,31,2,3,12,13,,46,108,.426,17,53,.321,8,16,.500,8,46,28,4,3,2,21
