,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-27,,UTA,L,104,110,100.0,105.8,104.0,.090,.300,.500,44.4,57.8,7.7,5.5,,.500,8.8,15.8,.040,,.506,12.4,83.3,.267
34,34,2021-12-31,@,MEM,L,105,118,105.4,118.5,99.6,.267,.389,.522,44.8,61.5,3.0,10.5,,.500,9.9,20.8,.167,,.529,7.6,69.2,.098
35,35,2022-01-01,@,DET,L,116,117,104.0,104.9,101.1,.275,.392,.507,43.2,71.4,7.2,4.5,,.471,12.3,24.1,.196,,.450,14.8,61.4,.257
36,36,2022-01-04,@,TOR,L,104,129,101.0,125.3,102.9,.200,.368,.503,49.0,65.9,5.8,5.8,,.479,16.2,32.1,.137,,.563,9.9,67.3,.219
37,37,2022-01-05,@,BOS,W,99,97,110.2,108.0,89.8,.057,.295,.549,53.9,47.6,6.7,8.1,,.534,15.9,30.0,.057,,.494,7.8,73.5,.089
38,38,2022-01-07,@,PHI,L,100,119,102.0,121.4,98.0,.217,.326,.496,44.3,57.9,6.1,9.4,,.462,10.6,22.9,.163,,.563,11.6,70.0,.241
39,39,2022-01-09,@,BRK,L,119,121,105.0,106.7,102.7,.168,.299,.518,44.4,71.7,10.6,11.4,,.491,11.5,22.2,.131,,.520,16.3,71.1,.194
40,40,2022-01-10,@,NYK,L,96,111,99.7,115.3,96.3,.158,.305,.472,46.7,48.7,7.3,14.0,,.453,9.0,24.5,.105,,.567,13.9,76.9,.220
41,41,2022-01-12,,HOU,L,124,128,116.3,120.0,106.6,.273,.465,.559,47.3,62.8,9.4,10.9,,.520,7.5,17.0,.212,,.646,12.7,89.5,.268
42,42,2022-01-14,,CLE,L,109,114,108.6,113.5,100.4,.141,.370,.558,50.5,52.4,6.0,6.7,,.538,13.3,22.7,.109,,.526,7.9,75.5,.147
43,43,2022-01-15,,LAC,W,101,94,109.0,101.4,92.7,.325,.446,.532,50.0,55.9,6.5,8.1,,.476,12.9,31.3,.265,,.440,11.9,65.0,.060
44,44,2022-01-17,,PHO,L,107,121,111.1,125.7,96.3,.239,.326,.526,51.1,51.2,3.1,3.2,,.495,10.6,28.3,.174,,.563,4.6,73.9,.147
