,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
24,24,2021-12-04,@,MIL,L,102,124,34,84,.405,17,43,.395,17,24,.708,9,39,29,6,5,14,17,,44,98,.449,18,50,.360,18,20,.900,19,57,32,3,6,14,22
25,25,2021-12-06,,MEM,L,90,105,35,76,.461,6,22,.273,14,17,.824,7,36,26,11,6,23,19,,38,89,.427,13,33,.394,16,21,.762,16,47,26,11,6,19,18
26,26,2021-12-08,,MIL,W,113,104,40,77,.519,22,47,.468,11,12,.917,6,42,32,6,6,20,23,,36,85,.424,12,39,.308,20,27,.741,12,41,18,11,4,18,20
27,27,2021-12-11,,CHI,W,118,92,46,93,.495,19,43,.442,7,9,.778,12,50,37,8,6,8,21,,31,83,.373,17,40,.425,13,20,.650,7,34,22,5,3,14,15
28,28,2021-12-13,@,CLE,L,94,105,38,85,.447,13,40,.325,5,9,.556,11,39,26,4,4,14,15,,36,81,.444,16,36,.444,17,18,.944,8,42,24,6,1,12,16
29,29,2021-12-15,@,PHI,W,101,96,35,78,.449,18,44,.409,13,17,.765,9,44,25,5,3,16,18,,35,79,.443,12,37,.324,14,17,.824,4,35,26,9,5,11,19
30,30,2021-12-17,@,ORL,W,115,105,41,82,.500,19,35,.543,14,19,.737,14,46,25,5,5,15,14,,43,89,.483,11,32,.344,8,10,.800,9,36,23,10,5,11,19
31,31,2021-12-19,@,DET,L,90,100,28,74,.378,13,43,.302,21,33,.636,8,39,23,4,3,13,27,,35,75,.467,8,32,.250,22,30,.733,6,47,24,4,2,13,28
32,32,2021-12-21,,IND,W,125,96,47,95,.495,22,49,.449,9,11,.818,15,53,30,5,5,11,21,,31,87,.356,11,31,.355,23,28,.821,11,42,22,6,3,11,13
33,33,2021-12-23,,DET,W,115,112,43,88,.489,12,32,.375,17,19,.895,6,43,23,4,0,13,25,,36,80,.450,18,40,.450,22,25,.880,6,43,23,9,5,16,25
34,34,2021-12-26,,ORL,W,93,83,36,89,.404,10,34,.294,11,18,.611,20,51,28,7,1,13,19,,31,72,.431,10,32,.313,11,17,.647,8,43,17,6,4,18,19
35,35,2021-12-28,,WAS,W,119,112,41,92,.446,16,34,.471,21,23,.913,14,42,26,14,5,7,13,,42,85,.494,17,42,.405,11,14,.786,13,47,27,5,3,18,20
36,36,2021-12-31,@,HOU,W,120,110,40,86,.465,14,33,.424,26,31,.839,11,43,21,7,6,14,16,,41,93,.441,14,42,.333,14,17,.824,15,46,21,9,4,18,27
37,37,2022-01-02,@,SAC,L,113,115,46,105,.438,9,33,.273,12,12,1.000,18,49,26,4,3,9,18,,40,78,.513,13,34,.382,22,27,.815,7,39,31,3,2,16,18
38,38,2022-01-03,@,GSW,L,108,115,37,90,.411,17,42,.405,17,19,.895,11,49,24,5,2,18,13,,45,92,.489,14,38,.368,11,13,.846,7,43,39,11,6,12,17
39,39,2022-01-05,@,POR,W,115,109,37,82,.451,19,41,.463,22,29,.759,14,50,29,3,3,11,21,,33,78,.423,15,38,.395,28,36,.778,8,36,18,8,4,5,23
40,40,2022-01-08,@,PHO,W,123,100,44,88,.500,22,44,.500,13,15,.867,11,49,33,9,1,14,18,,30,79,.380,14,34,.412,26,29,.897,6,35,24,10,1,15,14
