,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-23,,NOP,L,125,128,106.4,109.0,106.4,.245,.343,.553,46.1,57.4,7.7,8.8,,.525,13.7,19.2,.176,,.505,15.8,74.0,.351
34,34,2022-12-27,,SAS,W,130,114,133.0,116.7,97.7,.360,.279,.652,52.3,54.3,10.2,14.3,,.610,10.7,34.2,.291,,.515,11.7,66.7,.121
35,35,2022-12-29,@,CHO,L,113,121,109.1,116.8,103.6,.212,.364,.522,44.1,35.7,8.7,1.9,,.480,10.0,21.6,.182,,.607,14.9,71.4,.226
36,36,2022-12-31,,PHI,L,96,115,94.4,113.1,101.7,.239,.391,.472,47.2,45.7,6.9,9.2,,.446,13.6,26.3,.152,,.520,10.9,71.4,.121
37,37,2023-01-03,,BOS,W,150,117,140.0,109.2,107.1,.224,.408,.697,53.7,53.4,13.1,6.3,,.694,10.8,25.0,.143,,.523,14.3,76.1,.284
38,38,2023-01-04,@,ORL,L,115,126,117.5,128.7,97.9,.348,.416,.560,40.2,63.9,9.2,6.3,,.489,8.1,20.0,.315,,.599,14.2,64.9,.358
39,39,2023-01-06,,WAS,W,127,110,125.8,108.9,101.0,.143,.378,.610,47.1,60.0,8.9,10.9,,.597,8.0,23.9,.102,,.525,17.4,73.2,.342
40,40,2023-01-08,,DAL,W,120,109,127.0,115.4,94.5,.211,.295,.578,55.2,58.7,5.3,23.5,,.547,7.2,29.5,.168,,.521,11.6,81.4,.452
41,41,2023-01-10,@,MIA,L,111,112,111.5,112.5,99.6,.231,.385,.554,51.8,61.4,8.0,6.5,,.533,15.2,33.3,.154,,.456,16.4,69.8,.506
42,42,2023-01-12,@,PHI,W,133,114,127.5,109.3,104.3,.384,.384,.662,50.0,63.6,6.7,11.5,,.593,9.9,14.3,.360,,.506,14.5,79.1,.284
43,43,2023-01-13,@,CHI,W,124,110,126.0,111.8,98.4,.239,.359,.610,52.3,46.8,12.2,12.8,,.571,9.0,27.3,.207,,.518,14.3,77.3,.259
44,44,2023-01-15,@,BRK,W,112,102,114.8,104.6,97.5,.289,.344,.552,49.5,52.5,5.1,14.0,,.511,7.3,22.9,.222,,.495,13.1,73.6,.132
