,Team,last_3_P,last_3_OppP,last_3_FG,last_3_FGA,last_3_FG%,last_3_3P,last_3_3PA,last_3_3P%,last_3_FT,last_3_FTA,last_3_FT%,last_3_ORB,last_3_TRB,last_3_AST,last_3_STL,last_3_BLK,last_3_TOV,last_3_PF,last_3_ORtg,last_3_DRtg,last_3_Pace,last_3_FTr,last_3_3PAr,last_3_TS%,last_3_TRB%,last_3_AST%,last_3_STL%,last_3_BLK%,last_3_OeFG%,last_3_OTOV%,last_3_OORB%,last_3_OFT/FGA,last_3_DeFG%,last_3_DTOV%,last_3_DDRB%,last_3_DFT/FGA,last_3_W,last_3_H,last_10_P,last_10_OppP,last_10_FG,last_10_FGA,last_10_FG%,last_10_3P,last_10_3PA,last_10_3P%,last_10_FT,last_10_FTA,last_10_FT%,last_10_ORB,last_10_TRB,last_10_AST,last_10_STL,last_10_BLK,last_10_TOV,last_10_PF,last_10_ORtg,last_10_DRtg,last_10_Pace,last_10_FTr,last_10_3PAr,last_10_TS%,last_10_TRB%,last_10_AST%,last_10_STL%,last_10_BLK%,last_10_OeFG%,last_10_OTOV%,last_10_OORB%,last_10_OFT/FGA,last_10_DeFG%,last_10_DTOV%,last_10_DDRB%,last_10_DFT/FGA,last_10_W,last_10_H,last_50_P,last_50_OppP,last_50_FG,last_50_FGA,last_50_FG%,last_50_3P,last_50_3PA,last_50_3P%,last_50_FT,last_50_FTA,last_50_FT%,last_50_ORB,last_50_TRB,last_50_AST,last_50_STL,last_50_BLK,last_50_TOV,last_50_PF,last_50_ORtg,last_50_DRtg,last_50_Pace,last_50_FTr,last_50_3PAr,last_50_TS%,last_50_TRB%,last_50_AST%,last_50_STL%,last_50_BLK%,last_50_OeFG%,last_50_OTOV%,last_50_OORB%,last_50_OFT/FGA,last_50_DeFG%,last_50_DTOV%,last_50_DDRB%,last_50_DFT/FGA,last_50_W,last_50_H
0,HOU,106.67,121.67,37.0,89.33,0.41,13.33,44.0,0.3,19.33,23.0,0.82,12.0,37.0,23.67,9.33,1.0,11.67,18.33,111.7,127.47,95.5,0.26,0.49,0.54,45.8,64.5,9.8,2.0,0.49,10.5,25.9,0.22,0.62,13.77,73.23,0.25,0.0,2.0,118.1,115.8,42.0,92.9,0.45,15.0,42.7,0.35,19.1,23.4,0.81,12.9,43.4,23.9,8.4,4.2,10.9,18.9,120.38,118.2,96.98,0.25,0.46,0.57,49.05,57.36,8.6,7.7,0.53,9.5,27.83,0.21,0.56,12.83,73.2,0.2,6.0,6.0,115.12,115.7,42.16,92.42,0.46,12.72,36.92,0.34,18.08,23.48,0.77,12.16,45.5,24.28,8.54,4.5,12.08,19.94,115.44,116.06,98.94,0.26,0.4,0.56,50.26,57.72,8.58,8.47,0.53,10.49,25.91,0.2,0.55,12.16,76.15,0.21,23.0,26.0
0,IND,123.33,112.67,48.33,98.0,0.49,12.67,34.67,0.37,14.0,16.33,0.85,13.67,43.67,30.67,7.33,7.67,10.33,21.67,125.17,114.7,98.4,0.17,0.36,0.59,49.87,63.3,7.47,13.37,0.56,9.0,29.13,0.15,0.54,12.7,71.4,0.22,2.0,2.0,120.4,114.1,47.1,93.9,0.5,13.1,34.4,0.39,13.1,17.4,0.75,10.7,42.6,30.9,7.5,5.9,10.5,20.8,121.83,115.56,98.72,0.19,0.37,0.59,48.31,65.77,7.6,9.98,0.57,9.39,23.65,0.14,0.53,11.21,72.58,0.23,6.0,4.0,120.7,117.12,46.32,91.92,0.51,12.5,33.66,0.37,15.56,20.18,0.77,10.14,42.46,30.54,7.6,5.54,12.06,20.76,120.34,116.83,100.03,0.22,0.37,0.6,49.04,65.85,7.59,9.33,0.57,10.71,22.98,0.17,0.55,11.55,74.89,0.21,30.0,24.0
0,LAC,109.33,103.67,38.67,85.67,0.45,10.33,31.67,0.33,21.67,25.67,0.85,8.0,45.67,24.0,8.33,2.33,11.67,21.0,111.37,106.43,97.87,0.3,0.37,0.56,47.73,61.83,8.43,4.27,0.51,10.83,18.37,0.25,0.47,11.17,73.93,0.22,2.0,2.0,113.0,110.7,41.5,83.8,0.5,11.0,29.6,0.37,19.0,22.5,0.84,9.0,41.7,25.5,7.7,4.9,11.4,17.6,120.1,118.12,94.06,0.27,0.35,0.6,50.1,61.44,8.11,9.6,0.56,10.85,22.97,0.23,0.55,10.77,75.13,0.16,7.0,4.0,115.46,113.28,42.22,85.5,0.49,12.92,33.42,0.39,18.1,21.64,0.84,9.42,41.64,25.72,7.48,4.9,11.98,17.68,120.79,118.7,95.53,0.26,0.39,0.61,50.11,61.0,7.83,9.27,0.57,11.23,23.49,0.22,0.56,10.95,75.19,0.17,32.0,23.0
0,LAL,123.0,111.67,46.67,89.67,0.52,13.67,36.33,0.37,16.0,21.0,0.71,10.0,48.67,27.67,8.0,6.0,16.33,14.0,117.47,106.6,104.67,0.24,0.41,0.62,55.5,58.63,7.63,10.97,0.6,14.33,23.07,0.19,0.54,13.73,85.53,0.15,3.0,0.0,123.1,116.4,44.3,88.8,0.5,12.9,34.2,0.38,21.6,26.2,0.8,9.0,48.8,28.9,5.2,5.5,14.5,14.6,118.11,111.82,102.05,0.3,0.39,0.61,52.97,65.27,4.97,9.24,0.57,12.7,20.8,0.25,0.53,10.07,79.73,0.14,8.0,4.0,120.12,119.6,44.46,88.06,0.51,12.38,31.58,0.39,18.82,23.82,0.78,7.92,42.72,29.26,7.02,5.58,13.14,14.92,118.26,117.83,100.51,0.27,0.36,0.61,49.21,65.96,6.93,9.78,0.58,11.73,19.12,0.22,0.56,10.63,76.48,0.15,29.0,26.0
0,MEM,109.67,99.67,42.67,90.67,0.47,9.33,29.0,0.32,15.0,18.67,0.8,14.33,49.0,25.67,9.67,8.0,13.33,14.67,116.07,105.57,94.5,0.21,0.32,0.55,54.4,60.47,10.2,15.87,0.52,11.73,32.1,0.17,0.51,13.17,76.5,0.17,3.0,1.0,108.2,115.4,39.1,90.6,0.43,12.9,37.5,0.34,17.1,22.4,0.77,13.3,45.2,26.0,9.3,6.1,14.0,17.6,110.24,117.5,97.28,0.25,0.41,0.54,49.22,66.97,9.42,12.15,0.5,12.23,27.02,0.19,0.56,12.34,75.37,0.2,4.0,3.0,105.86,112.94,38.0,87.0,0.44,13.3,37.82,0.35,16.56,21.88,0.76,10.9,42.74,25.56,8.38,6.18,14.38,17.94,108.57,115.9,96.92,0.25,0.44,0.55,48.4,67.49,8.58,11.6,0.51,12.96,23.71,0.19,0.56,12.59,75.24,0.18,19.0,24.0
0,MIA,111.0,104.0,39.67,85.67,0.47,14.33,39.0,0.37,17.33,19.33,0.89,10.33,46.0,25.0,7.0,4.0,13.67,15.0,117.63,110.13,94.4,0.23,0.46,0.59,54.5,63.2,7.37,8.63,0.55,12.77,25.17,0.21,0.51,10.83,80.13,0.19,2.0,2.0,109.3,101.1,39.7,86.3,0.46,13.9,37.9,0.37,16.0,18.9,0.84,8.8,42.7,25.5,8.3,3.5,10.5,14.5,116.15,108.13,93.89,0.22,0.44,0.58,51.06,63.95,8.7,7.41,0.54,9.91,20.87,0.19,0.53,12.87,80.99,0.16,6.0,6.0,108.38,106.38,39.42,85.78,0.46,12.2,33.94,0.36,17.34,21.5,0.81,9.4,43.12,25.28,7.5,3.6,11.4,16.5,113.84,112.05,94.96,0.25,0.4,0.57,49.98,64.08,7.84,7.27,0.53,10.65,21.59,0.2,0.54,11.68,78.65,0.17,28.0,25.0
0,MIL,108.33,115.0,41.33,97.33,0.42,13.67,44.67,0.31,12.0,17.0,0.69,14.33,48.67,26.0,7.0,7.33,12.0,18.33,109.07,115.87,99.3,0.17,0.46,0.52,50.07,62.83,6.97,13.2,0.49,10.3,26.57,0.12,0.55,10.33,79.23,0.23,0.0,2.0,116.3,114.5,44.2,93.2,0.48,14.6,40.3,0.36,13.3,17.9,0.74,11.4,46.6,27.8,6.4,5.3,12.4,19.9,117.05,115.08,97.68,0.2,0.43,0.58,50.2,62.52,6.35,9.92,0.56,10.98,23.96,0.15,0.53,10.15,77.02,0.22,4.0,6.0,117.3,115.44,42.68,88.84,0.48,14.26,38.8,0.37,17.68,23.02,0.77,9.36,44.48,27.08,6.6,4.74,11.7,19.18,118.09,116.11,98.79,0.26,0.44,0.59,50.02,63.38,6.64,8.6,0.56,10.59,21.06,0.2,0.54,9.93,78.68,0.19,27.0,22.0
0,MIN,111.0,96.0,41.0,86.0,0.48,13.67,32.67,0.41,15.33,19.33,0.79,7.67,44.33,29.67,11.33,6.67,14.67,16.33,111.17,96.7,99.67,0.23,0.38,0.59,49.87,71.97,11.37,12.8,0.56,13.57,18.17,0.18,0.47,15.53,79.13,0.18,2.0,2.0,109.5,100.6,40.8,84.3,0.48,13.5,34.2,0.39,14.4,20.1,0.72,8.6,41.1,28.2,9.7,6.0,11.8,15.6,115.65,106.43,94.75,0.24,0.4,0.59,48.16,69.18,10.21,11.44,0.56,11.23,20.17,0.17,0.51,13.92,75.86,0.19,7.0,7.0,112.32,105.28,41.16,84.98,0.49,12.96,33.08,0.39,17.04,22.22,0.77,9.04,43.1,26.98,8.0,5.94,12.88,18.48,116.71,109.38,95.55,0.27,0.39,0.59,50.81,65.62,8.32,11.11,0.56,12.0,22.0,0.2,0.52,12.53,77.19,0.2,32.0,25.0
0,NOP,109.33,117.33,40.67,83.67,0.49,10.67,28.33,0.38,17.33,21.33,0.84,10.0,37.67,26.0,10.0,1.33,13.33,20.0,115.73,124.27,94.5,0.26,0.34,0.59,48.33,63.63,10.6,3.33,0.55,12.57,24.27,0.21,0.6,12.8,74.77,0.21,0.0,3.0,107.4,107.6,39.8,83.7,0.48,11.2,31.4,0.35,16.6,21.6,0.78,8.8,41.7,25.3,8.6,2.9,11.7,18.1,114.24,114.21,94.11,0.26,0.38,0.58,49.36,63.49,9.09,6.9,0.54,11.22,20.69,0.2,0.55,11.93,78.56,0.19,4.0,6.0,114.5,108.8,42.64,87.0,0.49,12.68,32.94,0.38,16.54,21.44,0.78,10.26,43.9,27.16,8.24,4.84,12.08,17.96,119.29,113.22,95.79,0.25,0.38,0.59,51.43,63.52,8.57,10.17,0.56,11.17,24.63,0.19,0.54,11.88,77.36,0.18,29.0,26.0
0,NYK,106.33,108.67,38.33,79.67,0.48,11.33,30.33,0.38,18.33,24.67,0.75,8.33,35.67,27.0,9.67,2.0,14.0,17.33,113.23,115.8,93.93,0.31,0.38,0.59,45.4,69.93,10.3,4.33,0.55,13.37,20.9,0.23,0.57,15.23,71.33,0.16,1.0,1.0,115.0,108.7,42.8,89.1,0.48,14.2,36.9,0.38,15.2,20.7,0.74,11.9,41.9,27.8,8.2,3.5,11.5,18.0,121.57,114.9,93.62,0.24,0.41,0.59,50.73,65.32,8.69,6.87,0.56,10.53,27.85,0.18,0.56,13.44,75.36,0.19,5.0,4.0,111.06,106.1,40.84,88.08,0.46,13.06,36.58,0.36,16.32,20.6,0.79,12.52,45.18,24.54,7.34,4.42,12.42,17.66,118.09,112.78,93.85,0.24,0.42,0.57,52.68,60.34,7.8,8.62,0.54,11.33,28.92,0.19,0.54,12.01,76.6,0.18,29.0,29.0
0,OKC,105.67,123.33,38.0,84.67,0.45,8.67,31.0,0.27,21.0,24.67,0.85,8.67,37.67,25.0,8.67,6.67,14.0,15.33,108.43,126.47,97.43,0.29,0.36,0.55,46.97,66.07,8.93,13.23,0.5,12.73,20.57,0.25,0.6,12.03,75.57,0.24,0.0,0.0,113.8,115.7,42.4,87.7,0.48,11.6,33.8,0.34,17.4,22.0,0.8,9.5,41.6,26.7,8.7,5.8,13.2,17.5,115.06,116.91,97.95,0.25,0.38,0.58,48.74,63.19,8.76,11.46,0.55,11.85,22.14,0.2,0.56,13.02,75.14,0.19,5.0,3.0,119.36,113.32,44.66,89.06,0.5,13.54,34.76,0.39,16.5,20.4,0.82,8.96,41.84,27.46,8.16,6.72,11.68,18.62,120.47,114.48,98.44,0.23,0.39,0.61,48.78,61.4,8.24,12.93,0.58,10.63,21.07,0.19,0.54,12.93,74.82,0.2,34.0,22.0
0,ORL,112.0,111.67,39.67,83.33,0.48,11.0,34.0,0.33,21.67,27.67,0.79,10.33,39.67,25.67,7.33,3.67,12.67,18.67,118.7,118.33,94.3,0.34,0.41,0.59,50.93,65.07,7.73,7.2,0.55,11.83,24.43,0.26,0.59,13.4,80.77,0.26,2.0,1.0,109.5,102.7,40.7,83.9,0.49,12.2,34.8,0.35,15.9,21.2,0.75,10.1,40.8,26.4,8.4,4.8,13.3,15.8,116.01,108.92,94.28,0.25,0.42,0.59,51.03,64.93,8.91,9.08,0.56,12.53,24.34,0.19,0.54,14.1,79.31,0.18,6.0,8.0,109.26,107.32,40.06,83.56,0.48,11.64,32.08,0.36,17.5,23.42,0.75,10.34,41.64,24.48,8.02,5.0,13.86,18.92,114.81,112.77,94.41,0.28,0.38,0.58,51.57,61.06,8.4,9.53,0.55,12.88,25.2,0.21,0.55,13.07,78.47,0.2,29.0,25.0
0,PHI,117.67,110.0,42.67,84.33,0.51,17.33,37.67,0.46,15.0,17.33,0.85,8.67,40.67,27.67,8.33,7.0,14.0,17.33,121.9,114.0,96.43,0.21,0.45,0.64,50.17,65.73,8.63,12.9,0.61,13.23,23.07,0.18,0.52,12.1,73.9,0.17,3.0,1.0,108.5,107.7,40.2,87.7,0.46,14.4,36.7,0.39,13.7,17.1,0.8,11.2,42.7,25.4,7.5,7.9,11.5,18.4,115.29,114.42,94.2,0.2,0.42,0.57,49.63,63.04,7.88,15.3,0.54,10.82,25.41,0.16,0.54,12.67,74.66,0.18,5.0,3.0,109.86,112.56,40.36,88.92,0.46,11.82,33.4,0.35,17.32,21.48,0.81,10.76,41.12,24.1,8.0,5.94,10.68,20.36,114.87,117.64,95.46,0.24,0.38,0.56,47.4,59.77,8.34,11.62,0.52,9.84,23.73,0.2,0.55,12.44,72.99,0.22,23.0,23.0
0,PHO,114.33,99.67,40.0,83.33,0.48,15.0,35.33,0.42,19.33,23.67,0.83,10.33,47.0,30.0,10.0,3.67,15.0,19.0,118.73,103.57,96.57,0.29,0.42,0.61,54.5,76.0,10.3,6.2,0.57,13.83,25.47,0.23,0.5,12.97,80.2,0.17,3.0,2.0,115.5,109.1,43.3,84.8,0.51,15.0,34.5,0.43,13.9,17.1,0.81,9.6,44.9,30.9,7.3,6.4,14.9,17.1,120.38,113.82,96.01,0.21,0.41,0.63,54.08,71.82,7.55,11.47,0.6,13.86,24.75,0.17,0.53,10.11,79.43,0.16,7.0,4.0,117.54,113.38,43.7,86.22,0.51,12.72,32.72,0.39,17.42,22.08,0.79,9.84,44.54,27.62,7.44,5.74,14.16,17.6,119.7,115.56,98.11,0.26,0.38,0.61,52.22,63.33,7.54,10.77,0.58,12.84,24.37,0.21,0.54,10.52,76.67,0.17,32.0,24.0
