,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-26,,HOU,L,118,133,117.7,132.7,100.2,.228,.380,.583,43.8,60.0,6.0,4.3,,.560,7.3,17.8,.163,,.650,10.7,77.1,.178
34,34,2022-12-28,,MIL,W,119,113,107.5,102.1,100.3,.326,.250,.566,46.0,50.0,4.5,15.2,,.505,11.0,15.2,.283,,.414,10.1,67.2,.200
35,35,2022-12-30,,DET,W,132,118,139.1,124.3,94.9,.163,.293,.669,52.1,39.6,10.5,8.5,,.641,11.6,35.3,.152,,.576,12.7,66.7,.221
36,36,2022-12-31,,CLE,L,102,103,105.7,106.8,96.5,.296,.259,.557,44.4,35.9,15.5,12.8,,.525,14.1,20.5,.210,,.535,17.6,67.4,.141
37,37,2023-01-02,@,CLE,L,134,145,124.4,134.6,97.5,.358,.347,.609,47.2,46.8,7.4,4.3,,.547,6.0,15.0,.316,,.609,8.2,73.5,.359
38,38,2023-01-04,,BRK,W,121,112,118.5,109.7,102.1,.358,.247,.645,57.5,48.8,6.9,13.0,,.580,13.8,17.1,.333,,.527,9.1,88.9,.176
39,39,2023-01-06,@,PHI,W,126,112,136.0,120.9,92.7,.202,.405,.689,54.2,68.8,3.2,7.8,,.690,10.7,23.5,.119,,.533,6.5,75.5,.152
40,40,2023-01-07,,UTA,W,126,118,125.7,117.7,100.3,.386,.337,.649,53.0,50.0,4.0,7.7,,.608,9.3,17.9,.301,,.559,9.0,84.1,.151
41,41,2023-01-09,@,BOS,L,99,107,106.4,115.0,93.0,.163,.407,.537,45.7,48.7,6.4,2.2,,.523,7.1,12.8,.105,,.500,8.6,80.0,.230
42,42,2023-01-11,@,WAS,L,97,100,102.4,105.6,94.7,.102,.330,.527,42.9,39.0,7.4,10.2,,.517,11.5,16.7,.068,,.506,15.7,72.1,.207
43,43,2023-01-13,,OKC,L,110,124,111.8,126.0,98.4,.282,.447,.576,47.7,78.9,7.1,8.5,,.518,14.3,22.7,.259,,.571,9.0,72.7,.207
44,44,2023-01-15,,GSW,W,132,118,124.3,111.2,106.2,.253,.411,.625,48.7,60.4,11.3,3.1,,.584,8.7,17.5,.221,,.620,19.9,81.6,.181
45,45,2023-01-19,@,DET,W,126,108,122.2,104.8,103.1,.228,.250,.622,49.5,46.0,10.7,12.7,,.582,12.1,25.6,.207,,.443,12.1,68.5,.227
46,46,2023-01-23,,ATL,W,111,100,114.3,102.9,97.1,.189,.358,.539,52.2,63.6,13.4,5.8,,.521,8.0,30.6,.126,,.518,16.2,78.0,.141
47,47,2023-01-24,@,IND,L,110,116,110.1,116.1,99.9,.284,.273,.556,50.0,44.2,5.0,8.1,,.517,13.9,26.2,.216,,.475,5.1,70.8,.222
48,48,2023-01-26,@,CHO,L,96,111,92.0,106.4,104.3,.242,.275,.477,45.3,43.2,7.7,3.8,,.429,11.4,13.2,.198,,.506,12.5,85.7,.310
49,49,2023-01-28,@,ORL,W,128,109,131.8,112.2,97.2,.235,.432,.716,51.4,62.5,5.1,10.9,,.691,11.8,11.8,.198,,.554,11.4,85.0,.205
50,50,2023-01-31,,LAC,L,103,108,103.7,108.8,99.3,.273,.312,.597,53.7,68.4,6.0,12.2,,.571,18.8,15.4,.195,,.462,7.1,80.4,.237
51,51,2023-02-02,,CHO,W,114,98,121.7,104.6,93.7,.329,.354,.630,47.1,58.5,9.6,5.2,,.589,12.6,21.6,.266,,.457,12.3,66.7,.140
52,52,2023-02-04,,POR,W,129,121,134.2,125.8,96.2,.313,.325,.709,55.4,66.7,6.2,6.8,,.675,11.7,18.8,.263,,.586,8.6,83.3,.218
53,53,2023-02-06,,SAS,W,128,104,120.4,97.8,106.3,.281,.247,.640,56.3,54.0,9.4,9.4,,.596,11.5,17.9,.247,,.489,15.6,87.5,.178
54,54,2023-02-07,@,MEM,L,89,104,89.6,104.7,99.3,.310,.402,.450,55.7,75.0,9.1,6.3,,.408,15.4,24.4,.207,,.549,12.6,88.4,.185
55,55,2023-02-09,@,BRK,L,105,116,104.6,115.5,100.4,.231,.286,.524,48.4,35.7,4.0,4.3,,.489,9.9,17.4,.176,,.522,9.7,77.6,.231
56,56,2023-02-11,@,CLE,L,89,97,93.9,102.4,94.7,.203,.284,.552,53.0,75.0,7.4,5.9,,.520,21.4,17.1,.162,,.471,11.3,79.2,.186
57,57,2023-02-13,,ORL,L,91,100,93.2,102.4,97.6,.221,.244,.482,51.2,48.6,8.2,5.6,,.424,14.5,22.2,.209,,.519,16.0,82.9,.198
58,58,2023-02-15,@,IND,L,113,117,113.5,117.5,99.6,.250,.417,.606,48.1,56.1,10.0,15.4,,.577,12.2,14.6,.190,,.585,15.6,84.2,.256
59,59,2023-02-16,,MIL,L,100,112,107.1,120.0,93.4,.216,.330,.471,49.5,51.4,4.3,4.9,,.433,4.5,25.9,.165,,.557,7.7,80.0,.159
60,60,2023-02-24,,BRK,W,131,87,136.8,90.9,95.8,.318,.295,.653,64.8,50.0,6.3,10.8,,.636,8.2,31.6,.216,,.444,12.7,90.0,.185
61,61,2023-02-26,,WAS,W,102,82,117.9,94.8,86.5,.215,.380,.590,48.1,52.5,8.1,6.3,,.557,8.5,21.1,.177,,.461,15.7,72.1,.158
62,62,2023-02-28,@,TOR,L,98,104,109.3,116.0,89.6,.239,.352,.624,42.7,75.7,6.7,13.5,,.592,19.5,17.6,.197,,.484,9.7,60.4,.138
63,63,2023-03-01,@,DET,W,117,115,117.7,115.7,99.4,.365,.318,.593,50.0,65.9,9.1,9.3,,.553,13.2,23.3,.271,,.590,15.0,81.1,.295
64,64,2023-03-03,,PHO,L,104,125,117.4,141.1,88.6,.301,.277,.553,45.3,61.5,7.9,2.7,,.512,7.8,24.3,.229,,.619,8.7,65.8,.250
65,65,2023-03-05,,IND,L,122,125,130.2,133.4,93.7,.338,.297,.718,48.5,40.0,6.4,6.0,,.676,14.1,15.4,.297,,.596,8.2,69.0,.138
66,66,2023-03-08,@,DEN,W,117,96,124.6,102.2,93.9,.202,.270,.604,53.2,56.5,9.6,4.2,,.562,7.6,21.4,.191,,.506,10.4,78.8,.080
67,67,2023-03-11,@,HOU,W,119,111,122.5,114.2,97.2,.256,.372,.622,57.1,56.8,7.2,17.6,,.599,12.8,32.5,.186,,.576,14.7,83.8,.153
