,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-25,,ATL,W,101,87,109.0,93.9,92.7,.141,.588,.559,52.1,73.7,6.5,12.2,,.565,10.0,19.1,.059,,.454,11.4,83.7,.092
34,34,2021-12-28,@,MIN,W,96,88,103.1,94.5,93.1,.178,.444,.495,54.5,54.1,5.4,8.5,,.500,13.4,30.0,.067,,.441,9.6,79.6,.153
35,35,2021-12-29,@,DET,W,94,85,98.9,89.4,95.1,.333,.383,.506,52.7,61.3,11.6,10.9,,.432,14.7,23.9,.296,,.444,16.1,82.2,.160
36,36,2021-12-31,@,OKC,L,80,95,86.4,102.6,92.6,.272,.506,.441,49.5,40.0,6.5,6.8,,.420,9.9,10.6,.148,,.517,9.1,86.0,.057
37,37,2022-01-02,@,TOR,L,105,120,106.8,122.1,98.3,.359,.462,.581,40.5,62.9,11.2,7.7,,.526,15.8,17.5,.295,,.552,13.9,67.6,.291
38,38,2022-01-04,,IND,W,104,94,119.2,107.8,87.2,.350,.350,.563,59.3,43.6,6.9,0.0,,.525,8.9,35.0,.250,,.480,10.0,80.4,.276
39,39,2022-01-06,,BOS,W,108,105,121.6,118.2,88.8,.167,.400,.559,52.5,57.5,9.0,2.9,,.544,7.6,26.8,.111,,.581,12.3,79.5,.150
40,40,2022-01-08,@,BOS,L,75,99,89.7,118.5,83.6,.190,.392,.438,47.1,44.8,9.6,8.5,,.437,12.3,23.4,.076,,.553,10.7,76.3,.197
41,41,2022-01-10,,SAS,W,111,96,115.3,99.7,96.3,.293,.390,.600,53.3,57.5,7.3,13.6,,.567,13.9,23.1,.220,,.453,9.0,75.5,.105
42,42,2022-01-12,,DAL,W,108,85,116.2,91.4,93.0,.167,.300,.559,58.1,57.1,5.4,9.8,,.533,8.5,24.4,.133,,.462,13.1,89.6,.167
43,43,2022-01-15,@,ATL,W,117,108,130.1,120.1,89.9,.313,.373,.619,58.7,57.1,2.2,0.0,,.584,7.8,28.9,.241,,.600,9.3,89.2,.150
44,44,2022-01-17,,CHO,L,87,97,96.3,107.3,90.4,.263,.425,.487,57.6,68.8,7.7,8.5,,.475,14.4,29.8,.138,,.500,7.0,86.7,.128
45,45,2022-01-18,,MIN,L,110,112,111.4,113.4,98.7,.413,.475,.582,53.7,56.8,6.1,17.5,,.538,16.0,26.8,.300,,.512,10.9,80.5,.358
46,46,2022-01-20,,NOP,L,91,102,98.8,110.7,92.1,.468,.494,.490,57.8,72.4,6.5,10.4,,.435,13.9,30.4,.312,,.572,12.3,91.9,.197
47,47,2022-01-23,,LAC,W,110,102,115.9,107.5,94.9,.209,.396,.554,56.5,66.7,6.3,10.5,,.516,10.8,30.6,.176,,.519,11.5,86.0,.253
48,48,2022-01-24,@,CLE,L,93,95,99.5,101.6,93.5,.250,.452,.499,46.9,60.0,11.8,2.2,,.488,10.6,22.0,.131,,.512,17.5,73.9,.148
49,49,2022-01-26,@,MIA,L,96,110,105.4,120.8,91.1,.205,.530,.531,53.7,68.6,8.8,10.8,,.512,15.8,32.6,.133,,.608,16.9,80.6,.270
50,50,2022-01-28,@,MIL,L,108,123,108.7,123.8,99.4,.333,.476,.561,48.9,53.8,6.0,8.7,,.548,12.7,23.4,.190,,.539,10.5,75.6,.303
51,51,2022-01-31,,SAC,W,116,96,116.1,96.1,99.9,.363,.438,.625,56.6,62.5,12.0,10.4,,.581,15.5,22.9,.288,,.494,14.3,81.3,.128
52,52,2022-02-02,,MEM,L,108,120,107.6,119.5,100.4,.295,.409,.543,48.5,60.5,5.0,15.9,,.500,13.1,26.5,.227,,.510,7.4,70.0,.157
53,53,2022-02-05,@,LAL,L,115,122,103.8,110.1,100.3,.367,.388,.505,49.6,61.5,7.2,5.9,,.454,11.0,25.9,.265,,.515,10.2,74.5,.167
54,54,2022-02-07,@,UTA,L,104,113,104.2,113.2,99.8,.368,.347,.471,53.3,50.0,8.0,6.7,,.421,12.7,36.4,.253,,.484,8.7,72.0,.247
55,55,2022-02-08,@,DEN,L,115,132,117.5,134.8,97.9,.119,.426,.541,44.1,55.6,9.2,6.5,,.520,7.0,25.9,.099,,.635,11.6,69.2,.282
56,56,2022-02-10,@,GSW,W,116,114,118.0,116.0,98.3,.367,.400,.555,57.3,61.5,3.1,6.5,,.511,11.1,32.7,.267,,.544,6.6,87.5,.165
57,57,2022-02-12,@,POR,L,103,112,106.3,115.6,96.9,.420,.481,.537,44.6,61.3,6.2,13.6,,.457,11.1,17.6,.358,,.565,13.9,78.0,.202
58,58,2022-02-14,,OKC,L,123,127,113.4,117.1,98.3,.204,.463,.523,54.9,62.2,7.4,19.4,,.486,10.6,33.3,.167,,.568,9.3,82.2,.188
59,59,2022-02-16,,BRK,L,106,111,113.3,118.6,93.6,.212,.506,.570,46.3,59.5,7.5,14.1,,.529,8.8,22.2,.188,,.495,7.7,68.0,.143
60,60,2022-02-25,,MIA,L,100,115,98.6,113.4,101.4,.480,.533,.550,50.6,63.3,3.9,2.0,,.493,16.5,11.1,.347,,.536,7.5,90.9,.313
61,61,2022-02-27,,PHI,L,109,125,106.2,121.8,102.6,.412,.388,.543,52.2,55.3,5.8,4.4,,.512,15.2,24.0,.259,,.551,9.3,87.5,.500
62,62,2022-03-02,@,PHI,L,108,123,110.3,125.6,98.0,.352,.308,.514,48.2,51.3,9.2,7.7,,.473,6.2,20.8,.242,,.633,13.5,85.7,.373
63,63,2022-03-04,@,PHO,L,114,115,115.8,116.8,98.5,.349,.337,.575,59.8,57.5,7.1,9.8,,.541,10.8,28.6,.244,,.547,8.5,92.5,.259
64,64,2022-03-06,@,LAC,W,116,93,120.8,96.9,96.0,.337,.326,.568,57.0,45.2,4.2,9.3,,.545,8.9,30.6,.213,,.438,9.3,82.4,.182
65,65,2022-03-07,@,SAC,W,131,115,130.5,114.5,100.4,.250,.457,.641,54.0,40.4,7.0,12.5,,.609,7.3,20.0,.207,,.556,10.3,90.5,.325
66,66,2022-03-09,@,DAL,W,107,77,119.9,86.3,89.2,.393,.405,.543,59.8,55.6,3.4,7.1,,.482,9.2,35.9,.310,,.349,7.6,77.4,.198
67,67,2022-03-11,@,MEM,L,114,118,108.9,112.7,104.7,.411,.278,.536,50.0,60.5,7.6,7.7,,.478,13.1,30.0,.311,,.486,7.9,67.2,.163
68,68,2022-03-13,@,BRK,L,107,110,112.3,115.5,95.2,.253,.349,.580,50.6,69.2,8.4,8.3,,.536,14.8,28.9,.217,,.528,11.6,70.7,.180
69,69,2022-03-16,,POR,W,128,98,133.2,102.0,96.1,.488,.475,.659,53.4,77.5,9.4,14.0,,.600,9.3,22.5,.400,,.500,10.2,79.2,.077
70,70,2022-03-18,,WAS,W,100,97,104.5,101.4,95.7,.400,.367,.472,61.2,58.1,9.4,6.7,,.400,10.2,35.2,.311,,.513,12.8,93.2,.203
71,71,2022-03-20,,UTA,L,93,108,105.0,121.9,88.6,.253,.482,.504,43.0,64.5,7.9,7.1,,.470,10.7,20.0,.181,,.574,11.3,75.0,.311
72,72,2022-03-22,,ATL,L,111,117,117.3,123.6,94.7,.302,.395,.570,48.8,47.6,12.7,8.9,,.564,11.8,29.8,.163,,.586,13.1,73.0,.272
73,73,2022-03-23,@,CHO,W,121,106,134.5,117.8,90.0,.205,.542,.669,47.1,69.8,5.6,7.0,,.639,7.2,16.2,.181,,.545,8.5,70.8,.101
74,74,2022-03-25,@,MIA,W,111,103,129.7,120.4,85.6,.341,.610,.588,54.5,63.9,9.4,5.4,,.543,10.4,38.6,.268,,.586,15.6,75.8,.300
75,75,2022-03-27,@,DET,W,104,102,113.0,110.8,92.0,.341,.482,.532,58.0,55.9,8.7,14.3,,.476,10.9,31.7,.271,,.506,9.7,80.9,.188
76,76,2022-03-28,,CHI,W,109,104,113.2,108.0,96.3,.393,.393,.522,49.5,50.0,4.2,7.1,,.494,5.4,24.1,.236,,.468,11.4,84.6,.380
77,77,2022-03-30,,CHO,L,114,125,117.5,128.8,97.1,.306,.518,.591,51.8,57.5,5.2,9.1,,.565,11.1,25.6,.212,,.611,10.1,80.0,.167
78,78,2022-04-02,,CLE,L,101,119,109.6,129.2,92.1,.442,.390,.549,44.9,61.3,6.5,8.5,,.487,9.8,14.3,.338,,.636,9.1,80.6,.198
79,79,2022-04-03,@,ORL,W,118,88,123.5,92.1,95.6,.172,.473,.590,58.3,64.4,9.4,17.1,,.565,8.3,28.9,.140,,.424,10.2,84.3,.188
80,80,2022-04-06,,BRK,L,98,110,101.2,113.6,96.8,.434,.458,.496,46.2,68.8,4.1,13.5,,.464,10.0,21.7,.253,,.516,11.4,71.1,.151
81,81,2022-04-08,@,WAS,W,114,92,119.7,96.6,95.2,.227,.443,.589,53.2,65.9,13.6,7.3,,.557,9.4,22.2,.182,,.572,22.3,94.1,.188
82,82,2022-04-10,,TOR,W,105,94,108.6,97.3,96.6,.138,.494,.569,52.7,80.0,6.2,10.0,,.546,14.0,22.7,.115,,.457,11.8,80.9,.109
