,Date,Time,Home_Team,Home_Pts,Away_Team,Away_Points
0,2023-11-10,8:00p,NOP,101,HOU,104
0,2023-11-10,8:00p,UTA,127,MEM,121
0,2023-11-10,8:00p,MIN,117,SAS,110
0,2023-11-10,8:30p,LAC,126,DAL,144
0,2023-11-10,10:00p,LAL,122,PHO,119
0,2023-11-10,10:00p,OKC,98,SAC,105
0,2023-11-11,6:00p,MIL,97,ORL,112
0,2023-11-11,7:00p,TOR,94,BOS,117
0,2023-11-11,7:30p,MIA,117,ATL,109
0,2023-11-11,8:30p,CLE,118,GSW,110
0,2023-11-12,12:00p,CHO,107,NYK,129
0,2023-11-12,3:00p,WAS,94,BRK,102
0,2023-11-12,3:30p,MEM,105,LAC,101
0,2023-11-12,6:00p,IND,126,PHI,137
0,2023-11-12,7:00p,DET,108,CHI,119
0,2023-11-12,7:00p,DEN,104,HOU,107
0,2023-11-12,7:00p,DAL,136,NOP,124
0,2023-11-12,7:00p,MIA,118,SAS,113
0,2023-11-12,8:00p,OKC,111,PHO,99
0,2023-11-12,8:30p,MIN,116,GSW,110
0,2023-11-12,10:00p,POR,110,LAL,116
0,2023-11-13,7:30p,NYK,98,BOS,114
0,2023-11-13,7:30p,WAS,107,TOR,111
0,2023-11-13,8:00p,CHI,109,MIL,118
0,2023-11-13,10:00p,CLE,120,SAC,132
0,2023-11-14,7:00p,MIA,111,CHO,105
0,2023-11-14,7:00p,ATL,126,DET,120
0,2023-11-14,7:00p,IND,132,PHI,126
0,2023-11-14,7:30p,ORL,104,BRK,124
0,2023-11-14,7:30p,SAS,87,OKC,123
0,2023-11-14,8:00p,DAL,110,NOP,131
0,2023-11-14,9:00p,POR,99,UTA,115
0,2023-11-14,10:00p,LAC,108,DEN,111
0,2023-11-14,10:00p,MIN,104,GSW,101
0,2023-11-14,10:30p,MEM,107,LAL,134
0,2023-11-15,7:00p,DAL,,WAS,
0,2023-11-15,7:30p,NYK,,ATL,
0,2023-11-15,7:30p,BOS,,PHI,
0,2023-11-15,7:30p,MIL,,TOR,
0,2023-11-15,8:00p,ORL,,CHI,
0,2023-11-15,9:00p,MIN,,PHO,
0,2023-11-15,10:00p,SAC,,LAL,
0,2023-11-15,10:00p,CLE,,POR,
0,2023-11-16,7:30p,BRK,,MIA,
0,2023-11-16,10:00p,OKC,,GSW,
0,2023-11-17,7:00p,MIL,,CHO,
0,2023-11-17,7:00p,NYK,,WAS,
0,2023-11-17,7:30p,PHI,,ATL,
0,2023-11-17,7:30p,DET,,CLE,
0,2023-11-17,7:30p,SAC,,SAS,
0,2023-11-17,7:30p,BOS,,TOR,
0,2023-11-17,8:00p,ORL,,CHI,
0,2023-11-17,8:00p,DEN,,NOP,
0,2023-11-17,10:00p,LAL,,POR,
0,2023-11-17,10:00p,PHO,,UTA,
0,2023-11-17,10:30p,HOU,,LAC,
0,2023-11-18,6:00p,NYK,,CHO,
0,2023-11-18,7:00p,MIN,,NOP,
0,2023-11-18,8:00p,MIA,,CHI,
0,2023-11-18,8:00p,DAL,,MIL,
0,2023-11-18,8:00p,MEM,,SAS,
0,2023-11-18,8:30p,OKC,,GSW,
0,2023-11-19,3:00p,PHI,,BRK,
0,2023-11-19,4:00p,DET,,TOR,
0,2023-11-19,5:00p,ORL,,IND,
0,2023-11-19,6:00p,DEN,,CLE,
0,2023-11-19,7:30p,SAC,,DAL,
0,2023-11-19,8:00p,BOS,,MEM,
0,2023-11-19,8:00p,PHO,,UTA,
0,2023-11-19,9:00p,OKC,,POR,
0,2023-11-19,9:30p,HOU,,LAL,
0,2023-11-20,7:00p,BOS,,CHO,
0,2023-11-20,7:00p,DEN,,DET,
0,2023-11-20,7:00p,MIL,,WAS,
0,2023-11-20,8:00p,MIA,,CHI,
0,2023-11-20,8:00p,NYK,,MIN,
0,2023-11-20,8:00p,SAC,,NOP,
0,2023-11-20,8:00p,LAC,,SAS,
0,2023-11-20,10:00p,HOU,,GSW,
0,2023-11-21,7:00p,TOR,,ORL,
0,2023-11-21,7:30p,IND,,ATL,
0,2023-11-21,7:30p,CLE,,PHI,
0,2023-11-21,9:00p,POR,,PHO,
0,2023-11-21,10:00p,UTA,,LAL,
0,2023-11-22,7:00p,WAS,,CHO,
0,2023-11-22,7:00p,DEN,,ORL,
0,2023-11-22,7:30p,BRK,,ATL,
0,2023-11-22,7:30p,MIL,,BOS,
0,2023-11-22,7:30p,MIA,,CLE,
0,2023-11-22,7:30p,TOR,,IND,
0,2023-11-22,8:00p,MEM,,HOU,
0,2023-11-22,8:00p,PHI,,MIN,
0,2023-11-22,8:00p,SAC,,NOP,
0,2023-11-22,8:00p,CHI,,OKC,
0,2023-11-22,8:00p,LAC,,SAS,
0,2023-11-22,10:00p,GSW,,PHO,
0,2023-11-22,10:00p,UTA,,POR,
0,2023-11-22,10:30p,DAL,,LAL,
0,2023-11-24,2:30p,BOS,,ORL,
0,2023-11-24,5:00p,PHO,,MEM,
0,2023-11-24,7:30p,MIA,,NYK,
0,2023-11-24,7:30p,CHI,,TOR,
0,2023-11-24,8:00p,DEN,,HOU,
