,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-27,@,POR,W,132,117,132.9,117.8,99.3,.393,.393,.670,55.4,79.2,6.0,9.5,,.643,11.7,28.6,.286,,.500,9.9,79.5,.427
34,34,2021-12-29,@,SAC,L,94,95,107.1,108.2,87.8,.160,.296,.542,48.6,60.5,8.0,10.2,,.525,11.3,18.4,.111,,.547,14.6,80.6,.173
35,35,2021-12-31,@,SAC,W,112,96,121.3,104.0,92.3,.272,.272,.618,58.8,71.4,5.4,11.3,,.574,10.8,28.6,.235,,.473,9.4,82.2,.110
36,36,2022-01-02,@,OKC,W,95,86,101.6,92.0,93.5,.082,.459,.539,53.9,73.7,9.6,5.5,,.529,15.4,17.1,.059,,.471,11.0,85.4,.071
37,37,2022-01-03,,DEN,W,103,89,112.6,97.3,91.5,.269,.474,.590,37.3,65.7,13.1,11.9,,.538,11.2,12.2,.244,,.507,23.9,67.6,.313
38,38,2022-01-05,,GSW,W,99,82,103.4,85.7,95.7,.299,.460,.503,50.0,66.7,6.3,9.4,,.448,10.9,20.8,.241,,.438,15.4,81.8,.136
39,39,2022-01-07,@,HOU,W,130,106,124.7,101.7,104.2,.311,.422,.635,57.9,69.4,5.8,9.1,,.639,12.0,25.0,.167,,.494,11.5,86.3,.230
40,40,2022-01-09,,CHI,W,113,99,122.0,106.9,92.6,.102,.409,.614,55.2,63.6,4.3,3.5,,.591,8.9,18.4,.102,,.494,6.8,83.7,.111
41,41,2022-01-12,@,NYK,L,85,108,91.4,116.2,93.0,.244,.474,.492,41.9,50.0,6.5,3.2,,.462,13.1,10.4,.167,,.533,8.5,75.6,.133
42,42,2022-01-14,@,MEM,W,112,85,113.1,85.8,99.0,.176,.352,.571,55.9,63.8,8.1,1.7,,.560,11.7,20.5,.110,,.421,12.9,81.5,.112
43,43,2022-01-15,,ORL,W,108,92,118.8,101.2,90.9,.487,.436,.570,56.0,50.0,6.6,5.9,,.487,8.7,27.3,.410,,.526,15.1,87.5,.143
44,44,2022-01-17,,OKC,W,104,102,105.8,103.7,98.3,.318,.420,.518,52.8,80.0,10.2,14.6,,.466,9.9,22.9,.250,,.500,12.2,87.8,.229
45,45,2022-01-19,,TOR,W,102,98,111.3,107.0,91.6,.263,.434,.601,50.6,62.2,5.5,0.0,,.546,15.9,26.3,.250,,.429,10.5,68.6,.220
46,46,2022-01-20,,PHO,L,101,109,102.0,110.1,99.0,.235,.435,.538,55.6,51.4,1.0,6.0,,.500,16.8,22.2,.188,,.500,6.7,88.9,.267
47,47,2022-01-23,,MEM,W,104,91,110.9,97.0,93.8,.419,.405,.593,45.7,61.1,10.7,16.0,,.547,14.6,23.7,.311,,.394,12.3,61.1,.131
48,48,2022-01-25,@,GSW,L,92,130,93.1,131.5,98.8,.198,.440,.465,40.2,53.1,9.1,8.2,,.407,10.0,17.9,.198,,.625,12.3,70.7,.163
49,49,2022-01-26,@,POR,W,132,112,133.8,113.5,98.6,.295,.409,.664,54.2,72.9,6.1,13.6,,.636,7.4,14.6,.227,,.598,8.9,92.9,.171
50,50,2022-01-29,,IND,W,132,105,133.4,106.1,98.9,.229,.354,.625,49.5,60.8,8.1,12.1,,.615,4.5,22.9,.146,,.489,9.8,77.8,.176
51,51,2022-01-30,@,ORL,L,108,110,110.8,112.9,97.5,.222,.469,.607,50.0,56.4,9.2,8.0,,.580,16.8,18.4,.173,,.577,14.9,78.6,.155
52,52,2022-02-02,,OKC,L,114,120,115.5,121.6,89.4,.102,.439,.557,43.8,60.9,12.2,16.3,,.541,11.3,26.5,.082,,.576,15.7,65.0,.244
53,53,2022-02-04,,PHI,W,107,98,120.9,110.8,88.5,.271,.400,.562,52.6,56.4,9.0,0.0,,.518,9.5,26.8,.224,,.579,14.0,82.9,.243
54,54,2022-02-06,,ATL,W,103,94,109.2,99.6,94.3,.148,.409,.550,49.0,65.8,8.5,7.1,,.523,13.0,25.5,.125,,.416,10.5,70.6,.158
55,55,2022-02-08,,DET,W,116,86,121.1,89.8,95.8,.291,.456,.651,51.1,60.0,10.4,8.8,,.620,12.7,15.8,.228,,.408,13.4,75.9,.172
56,56,2022-02-10,,LAC,W,112,105,119.0,111.6,94.1,.346,.500,.623,56.9,50.0,4.3,5.2,,.571,12.6,22.9,.295,,.537,9.8,89.2,.222
57,57,2022-02-12,,LAC,L,97,99,104.3,106.4,93.0,.224,.459,.519,51.2,45.7,4.3,0.0,,.500,13.0,26.5,.141,,.567,13.9,83.8,.073
58,58,2022-02-15,@,MIA,W,107,99,123.8,114.6,86.4,.434,.539,.591,44.2,79.4,5.8,12.3,,.566,8.1,26.7,.276,,.458,11.1,63.4,.262
59,59,2022-02-17,@,NOP,W,125,118,132.6,125.2,94.2,.305,.488,.672,44.2,40.9,5.3,6.3,,.652,7.9,18.4,.220,,.565,11.4,64.6,.152
60,60,2022-02-25,@,UTA,L,109,114,118.9,124.4,91.6,.091,.443,.595,40.5,52.4,9.8,8.3,,.574,10.7,18.6,.091,,.649,17.7,71.0,.243
61,61,2022-02-27,@,GSW,W,107,101,110.7,104.5,96.7,.256,.436,.616,50.6,41.0,5.2,13.5,,.583,17.2,15.8,.205,,.489,9.1,76.5,.132
62,62,2022-03-01,@,LAL,W,109,104,113.2,108.0,96.3,.329,.427,.581,54.9,58.5,8.3,14.6,,.561,12.2,23.3,.207,,.537,11.7,89.7,.195
63,63,2022-03-03,,GSW,W,122,113,134.2,124.3,90.9,.235,.435,.650,46.4,64.4,7.7,2.0,,.629,8.8,22.9,.176,,.636,14.7,70.6,.123
64,64,2022-03-05,,SAC,W,114,113,116.1,115.1,98.2,.321,.429,.594,46.4,55.0,7.1,2.9,,.560,9.4,22.2,.238,,.537,12.1,74.4,.128
65,65,2022-03-07,,UTA,W,111,103,119.2,110.6,93.1,.227,.523,.573,48.9,48.7,9.7,9.6,,.540,8.5,21.4,.182,,.506,12.2,73.9,.229
66,66,2022-03-09,,NYK,L,77,107,86.3,119.9,89.2,.291,.512,.397,40.2,40.7,3.4,8.0,,.349,7.6,22.6,.198,,.482,9.2,64.1,.310
67,67,2022-03-11,@,HOU,W,113,100,114.5,101.3,98.7,.318,.409,.563,54.7,50.0,6.1,14.3,,.517,11.5,26.1,.250,,.512,10.4,87.5,.140
68,68,2022-03-13,@,BOS,W,95,92,101.4,98.2,93.7,.257,.500,.577,48.3,60.6,7.5,9.8,,.547,17.1,10.5,.189,,.426,10.2,77.6,.193
69,69,2022-03-16,@,BRK,W,113,111,127.6,125.3,88.6,.229,.410,.618,45.1,51.2,5.6,3.1,,.566,9.9,25.7,.229,,.544,10.1,59.6,.132
