,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-21,@,BRK,L,113,143,110.5,139.8,102.3,.301,.398,.601,52.9,78.0,5.9,2.0,,.566,18.3,23.7,.229,,.768,13.3,90.0,.167
34,34,2022-12-25,,MEM,W,123,109,117.4,104.1,104.8,.286,.484,.600,53.7,72.1,5.7,9.1,,.571,8.9,20.5,.209,,.463,10.8,82.4,.234
35,35,2022-12-27,,CHO,W,110,105,104.3,99.6,105.5,.253,.389,.521,51.0,75.6,2.8,3.7,,.474,11.7,19.1,.211,,.467,10.4,81.6,.207
36,36,2022-12-28,,UTA,W,112,107,111.3,106.4,100.6,.310,.517,.566,50.5,59.5,6.0,6.7,,.517,10.8,20.0,.253,,.489,10.5,80.4,.198
37,37,2022-12-30,,POR,W,118,112,125.5,119.1,94.0,.231,.473,.589,48.4,69.0,9.6,3.8,,.555,10.7,34.7,.187,,.527,12.2,63.0,.176
38,38,2023-01-02,,ATL,W,143,141,115.5,113.9,102.4,.198,.488,.543,56.6,63.0,7.3,8.1,,.525,12.6,34.8,.132,,.537,9.6,82.1,.220
39,39,2023-01-04,,DET,L,119,122,123.5,126.6,96.3,.172,.460,.636,49.4,68.9,3.1,7.1,,.603,13.0,23.1,.161,,.576,7.3,73.8,.174
40,40,2023-01-07,,ORL,L,101,115,101.8,116.0,99.2,.239,.659,.519,52.7,78.8,7.1,1.8,,.477,14.1,22.9,.193,,.580,9.3,84.4,.161
41,41,2023-01-10,,PHO,L,113,125,109.8,121.5,102.9,.281,.500,.524,44.1,64.9,12.6,3.4,,.479,12.2,29.6,.219,,.533,16.8,60.4,.322
42,42,2023-01-13,@,SAS,W,144,113,132.9,104.3,108.3,.198,.475,.656,59.1,60.0,8.3,9.1,,.634,9.9,27.9,.158,,.500,12.7,86.0,.284
43,43,2023-01-15,@,CHI,L,118,132,111.2,124.3,106.2,.265,.614,.637,51.3,85.4,5.7,7.1,,.620,19.9,18.4,.181,,.584,8.7,82.5,.221
44,44,2023-01-16,@,WAS,W,127,118,125.6,116.7,101.1,.231,.484,.633,54.4,62.2,7.9,2.0,,.593,10.7,23.1,.209,,.570,12.7,85.0,.233
45,45,2023-01-19,@,BOS,L,118,121,102.4,105.0,104.4,.230,.520,.536,42.7,70.0,8.7,10.4,,.490,12.7,15.1,.200,,.458,12.3,68.4,.204
46,46,2023-01-20,@,CLE,W,120,114,126.8,120.4,94.7,.221,.500,.636,56.3,59.5,9.5,7.8,,.622,15.3,35.9,.151,,.583,14.0,75.6,.190
47,47,2023-01-22,,BRK,L,116,120,118.0,122.1,98.3,.300,.356,.569,50.0,68.3,10.2,3.8,,.528,8.9,23.3,.233,,.633,13.9,78.0,.253
48,48,2023-01-25,,MEM,W,122,120,119.8,117.8,101.8,.329,.376,.627,55.0,76.7,6.9,8.8,,.588,17.7,35.9,.259,,.534,11.1,73.2,.295
49,49,2023-01-27,,TOR,W,129,117,125.4,113.7,102.9,.167,.478,.668,48.3,80.0,4.9,1.5,,.656,11.0,13.5,.122,,.515,8.3,73.1,.129
50,50,2023-01-30,@,OKC,W,128,120,119.4,112.0,107.2,.222,.522,.648,50.6,80.4,8.4,5.8,,.622,13.2,14.6,.178,,.554,13.6,82.6,.183
51,51,2023-02-01,@,MIN,L,114,119,100.2,104.6,103.0,.374,.385,.538,52.3,55.3,6.2,7.1,,.478,13.8,17.3,.297,,.500,8.6,83.1,.123
52,52,2023-02-02,@,DEN,L,117,134,116.7,133.6,100.3,.224,.447,.627,52.5,58.1,4.0,7.3,,.618,15.4,24.4,.141,,.656,10.0,82.1,.178
53,53,2023-02-04,,DAL,W,119,113,121.3,115.2,98.1,.232,.427,.658,49.4,73.3,6.1,11.1,,.634,13.4,14.7,.183,,.541,12.6,76.7,.247
54,54,2023-02-06,,OKC,W,141,114,137.2,110.9,102.8,.072,.515,.704,55.6,76.8,5.8,5.1,,.711,13.8,27.5,.031,,.544,9.9,82.9,.165
55,55,2023-02-08,@,POR,L,122,125,122.9,126.0,99.2,.103,.505,.602,40.5,67.4,11.1,3.9,,.582,9.8,22.2,.093,,.603,18.6,64.7,.397
56,56,2023-02-11,,LAL,L,103,109,98.0,103.7,105.1,.125,.458,.508,45.3,77.5,10.5,9.4,,.479,12.9,14.3,.115,,.494,13.0,78.3,.236
57,57,2023-02-13,,WAS,W,135,126,139.7,130.3,96.7,.169,.449,.706,50.7,76.9,10.3,0.0,,.697,13.6,31.4,.124,,.675,16.0,71.9,.225
