,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,2021-12-22,@,ATL,W,104,98,38,85,.447,11,37,.297,17,23,.739,8,40,27,11,5,10,24,,32,80,.400,12,31,.387,22,29,.759,13,49,21,4,8,14,19
33,33,2021-12-23,,NOP,L,104,110,38,88,.432,9,32,.281,19,21,.905,10,44,19,6,11,8,26,,37,86,.430,13,30,.433,23,26,.885,12,46,21,4,2,10,13
34,34,2021-12-26,@,MIA,L,83,93,31,72,.431,10,32,.313,11,17,.647,8,43,17,6,4,18,19,,36,89,.404,10,34,.294,11,18,.611,20,51,28,7,1,13,19
35,35,2021-12-28,,MIL,L,110,127,38,83,.458,12,39,.308,22,26,.846,7,37,24,7,4,13,25,,47,85,.553,17,37,.459,16,22,.727,7,40,31,4,3,12,20
36,36,2021-12-30,,MIL,L,118,136,42,87,.483,13,36,.361,21,27,.778,6,33,26,5,1,10,26,,45,91,.495,13,33,.394,33,36,.917,14,50,24,7,6,13,19
37,37,2022-01-02,@,BOS,L,111,116,40,95,.421,9,27,.333,22,27,.815,10,45,17,12,3,14,24,,39,86,.453,13,36,.361,25,28,.893,9,46,25,5,10,21,23
38,38,2022-01-03,@,CHI,L,98,102,36,85,.424,10,27,.370,16,18,.889,5,44,24,5,2,13,17,,37,86,.430,11,31,.355,17,23,.739,10,49,17,10,4,13,16
39,39,2022-01-05,,PHI,L,106,116,40,90,.444,12,39,.308,14,20,.700,14,47,22,9,3,19,30,,43,85,.506,12,28,.429,18,24,.750,10,42,26,8,4,15,16
40,40,2022-01-08,@,DET,L,92,97,29,86,.337,14,46,.304,20,23,.870,8,44,25,6,9,12,20,,38,87,.437,10,33,.303,11,16,.688,7,49,23,7,6,12,21
41,41,2022-01-09,,WAS,L,100,102,38,95,.400,9,28,.321,15,16,.938,9,42,18,9,6,7,21,,36,88,.409,11,29,.379,19,24,.792,12,54,23,1,6,12,21
42,42,2022-01-12,@,WAS,L,106,112,41,99,.414,11,35,.314,13,16,.813,18,49,31,6,6,9,16,,43,82,.524,10,31,.323,16,21,.762,6,42,26,6,4,10,14
43,43,2022-01-14,@,CHO,W,116,109,45,87,.517,15,45,.333,11,15,.733,4,43,32,9,4,19,18,,40,97,.412,12,42,.286,17,21,.810,11,44,28,9,5,16,20
44,44,2022-01-15,@,DAL,L,92,108,37,77,.481,7,26,.269,11,16,.688,5,37,16,7,3,15,26,,32,78,.410,12,34,.353,32,38,.842,12,47,16,6,3,9,18
45,45,2022-01-17,,POR,L,88,98,34,90,.378,8,32,.250,12,20,.600,10,50,21,9,7,16,15,,37,90,.411,7,34,.206,17,18,.944,11,55,20,9,8,17,17
46,46,2022-01-19,@,PHI,L,110,123,40,90,.444,18,35,.514,12,16,.750,9,43,26,4,4,11,19,,45,83,.542,10,28,.357,23,27,.852,6,44,21,7,8,9,15
47,47,2022-01-21,,LAL,L,105,116,36,81,.444,11,40,.275,22,29,.759,3,35,23,6,9,17,21,,42,85,.494,13,30,.433,19,23,.826,8,45,23,12,4,18,24
48,48,2022-01-23,,CHI,W,114,95,42,80,.525,12,26,.462,18,23,.783,3,35,31,7,8,12,25,,33,76,.434,5,21,.238,24,32,.750,11,44,10,3,4,21,22
49,49,2022-01-26,,LAC,L,102,111,38,84,.452,9,35,.257,17,22,.773,8,39,29,9,3,13,23,,36,81,.444,15,29,.517,24,27,.889,8,49,20,7,1,15,22
50,50,2022-01-28,,DET,W,119,103,41,83,.494,12,25,.480,25,26,.962,8,47,28,5,7,15,22,,32,87,.368,10,29,.345,29,37,.784,14,41,23,10,9,10,24
51,51,2022-01-30,,DAL,W,110,108,43,84,.512,11,34,.324,13,16,.813,9,40,26,8,1,16,16,,39,81,.481,16,38,.421,14,18,.778,7,40,22,9,4,18,19
52,52,2022-02-01,@,CHI,L,115,126,46,93,.495,14,39,.359,9,11,.818,3,36,33,7,4,9,18,,46,90,.511,11,30,.367,23,29,.793,11,49,25,5,6,9,15
53,53,2022-02-02,@,IND,W,119,118,42,95,.442,11,35,.314,24,26,.923,9,52,29,5,3,12,21,,44,98,.449,14,32,.438,16,23,.696,7,46,25,7,1,8,19
54,54,2022-02-05,,MEM,L,115,135,39,90,.433,17,48,.354,20,29,.690,7,38,27,2,2,9,20,,53,105,.505,13,39,.333,16,22,.727,16,62,33,6,5,8,21
55,55,2022-02-06,,BOS,L,83,116,29,81,.358,5,26,.192,20,21,.952,8,40,17,8,5,17,16,,45,99,.455,13,46,.283,13,14,.929,16,55,29,9,6,14,17
56,56,2022-02-08,@,POR,W,113,95,44,90,.489,19,38,.500,6,8,.750,10,50,34,8,7,14,18,,32,91,.352,11,38,.289,20,26,.769,17,50,21,9,5,13,12
57,57,2022-02-11,@,UTA,L,99,114,37,84,.440,13,35,.371,12,16,.750,9,40,23,12,5,18,15,,40,89,.449,13,41,.317,21,24,.875,11,50,22,15,5,15,14
58,58,2022-02-12,@,PHO,L,105,132,37,87,.425,15,41,.366,16,24,.667,4,44,25,2,2,14,9,,55,105,.524,15,34,.441,7,10,.700,7,52,40,8,2,7,19
59,59,2022-02-14,@,DEN,L,111,121,40,91,.440,11,39,.282,20,23,.870,11,42,24,16,5,15,19,,42,88,.477,16,40,.400,21,23,.913,12,52,25,7,2,22,18
60,60,2022-02-16,,ATL,L,109,130,42,98,.429,13,41,.317,12,13,.923,12,45,23,3,5,13,19,,45,90,.500,18,33,.545,22,28,.786,13,47,23,7,6,11,20
61,61,2022-02-25,,HOU,W,119,111,42,83,.506,13,36,.361,22,29,.759,10,54,20,7,4,18,22,,44,94,.468,14,47,.298,9,20,.450,10,41,22,12,3,13,24
62,62,2022-02-28,,IND,W,119,103,45,96,.469,12,37,.324,17,22,.773,10,39,29,10,2,10,19,,35,72,.486,15,36,.417,18,25,.720,4,39,22,4,6,21,18
