,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-27,@,SAS,W,110,104,105.8,100.0,104.0,.349,.360,.554,55.6,48.7,8.7,5.7,,.506,12.4,16.7,.267,,.500,8.8,84.2,.040
34,34,2021-12-29,@,POR,W,120,105,124.6,109.0,96.3,.368,.333,.594,50.5,47.8,6.2,6.3,,.575,9.8,27.7,.230,,.500,9.2,75.0,.193
35,35,2021-12-31,,MIN,W,120,108,120.1,108.1,99.9,.526,.372,.625,54.4,48.6,4.0,9.6,,.545,15.0,25.0,.449,,.505,8.9,78.0,.151
36,36,2022-01-01,,GSW,L,116,123,115.9,122.9,100.1,.304,.478,.556,52.9,47.5,7.0,0.0,,.511,11.1,31.3,.239,,.634,13.6,81.1,.163
37,37,2022-01-03,@,NOP,W,115,104,121.9,110.2,94.4,.200,.459,.622,47.8,53.7,6.4,7.8,,.594,13.1,25.0,.165,,.464,8.6,66.0,.144
38,38,2022-01-05,@,DEN,W,115,109,117.6,111.4,97.8,.196,.446,.575,51.2,51.2,7.2,7.7,,.543,6.5,18.2,.163,,.540,11.3,85.7,.159
39,39,2022-01-07,@,TOR,L,108,122,110.2,124.5,98.0,.222,.469,.607,45.5,59.0,3.1,6.8,,.586,19.1,19.4,.160,,.510,5.9,63.5,.200
40,40,2022-01-08,@,IND,L,113,125,117.2,129.7,96.4,.226,.417,.612,50.6,50.0,6.2,5.9,,.565,13.2,21.4,.214,,.638,9.6,85.7,.288
41,41,2022-01-10,@,DET,L,116,126,117.6,127.8,98.6,.256,.384,.606,50.6,52.3,9.1,7.1,,.576,14.3,25.0,.198,,.618,10.1,76.9,.118
42,42,2022-01-12,,CLE,L,91,111,98.7,120.4,92.2,.129,.553,.506,39.0,32.4,7.6,3.9,,.494,7.2,8.5,.082,,.599,12.8,80.0,.173
43,43,2022-01-16,@,DEN,W,125,102,127.9,104.3,97.8,.345,.464,.646,56.7,59.1,8.2,9.6,,.613,8.5,21.4,.262,,.500,8.4,87.5,.074
44,44,2022-01-17,@,LAL,L,95,101,98.3,104.5,96.6,.289,.554,.508,49.4,67.7,6.2,12.2,,.446,13.8,18.6,.253,,.506,11.1,78.3,.163
45,45,2022-01-19,,HOU,L,111,116,117.0,122.2,94.9,.225,.427,.567,52.7,61.9,7.4,9.8,,.528,8.4,25.6,.191,,.542,7.2,76.0,.125
46,46,2022-01-21,,DET,W,111,101,118.5,107.9,93.6,.430,.392,.591,52.4,61.1,3.2,12.7,,.519,9.6,18.4,.367,,.511,9.6,80.4,.138
47,47,2022-01-23,@,GSW,L,92,94,111.9,114.3,82.2,.284,.432,.505,56.0,54.8,8.5,4.9,,.451,9.0,36.2,.235,,.512,9.3,77.3,.108
48,48,2022-01-24,@,PHO,L,109,115,112.6,118.8,96.8,.272,.383,.601,42.7,40.0,11.4,4.8,,.580,12.5,17.5,.185,,.540,11.7,63.3,.081
49,49,2022-01-26,,PHO,L,97,105,106.1,114.8,91.5,.291,.380,.544,47.0,58.8,6.6,6.3,,.506,13.6,18.6,.215,,.530,6.9,77.5,.220
50,50,2022-01-28,@,MEM,L,109,119,112.2,122.4,97.2,.247,.541,.578,46.8,54.1,10.3,5.1,,.535,14.5,24.4,.212,,.616,13.9,76.5,.220
51,51,2022-01-30,@,MIN,L,106,126,107.1,127.3,99.0,.259,.494,.587,48.7,60.5,8.1,6.9,,.562,16.6,23.1,.185,,.624,14.2,74.4,.169
52,52,2022-02-02,,DEN,W,108,104,118.4,114.0,91.2,.256,.337,.564,48.7,50.0,8.8,7.8,,.529,6.8,20.0,.198,,.601,14.2,80.6,.114
53,53,2022-02-04,,BRK,W,125,102,130.6,106.6,95.7,.165,.447,.686,54.3,68.8,7.3,7.7,,.665,14.9,25.7,.141,,.475,8.0,71.9,.081
54,54,2022-02-07,,NYK,W,113,104,113.2,104.2,99.8,.290,.516,.539,46.7,48.7,6.0,9.7,,.484,8.7,28.0,.247,,.421,12.7,63.6,.253
55,55,2022-02-09,,GSW,W,111,85,120.8,92.5,91.9,.191,.573,.575,59.8,63.4,3.3,25.7,,.556,8.5,25.6,.135,,.462,11.4,93.2,.167
56,56,2022-02-11,,ORL,W,114,99,114.7,99.6,99.4,.270,.461,.573,55.6,55.0,15.1,10.2,,.522,13.1,26.2,.236,,.518,16.5,81.3,.143
57,57,2022-02-14,,HOU,W,135,101,141.2,105.6,95.6,.247,.449,.684,61.6,69.4,6.3,10.9,,.652,11.6,36.1,.213,,.494,11.2,80.0,.229
58,58,2022-02-16,@,LAL,L,101,106,110.0,115.5,91.8,.241,.418,.578,48.2,45.9,12.0,12.0,,.538,13.0,20.0,.203,,.535,10.3,73.3,.163
59,59,2022-02-25,,DAL,W,114,109,124.4,118.9,91.6,.297,.514,.681,59.5,55.0,9.8,8.2,,.649,17.7,29.0,.243,,.574,10.7,81.4,.091
60,60,2022-02-27,@,PHO,W,118,114,130.0,125.6,90.8,.213,.426,.574,53.2,52.3,7.7,10.3,,.559,8.1,35.0,.138,,.587,8.8,73.0,.151
61,61,2022-03-02,@,HOU,W,132,127,122.1,117.5,97.9,.264,.462,.650,59.0,64.0,11.1,5.7,,.632,15.8,27.5,.187,,.622,13.9,88.4,.233
62,62,2022-03-04,@,NOP,L,90,124,93.1,128.3,96.6,.292,.461,.448,50.0,48.4,7.2,3.3,,.410,16.6,37.3,.191,,.572,8.7,66.7,.134
63,63,2022-03-06,@,OKC,W,116,103,123.3,109.5,94.1,.191,.584,.601,50.5,67.5,4.3,7.7,,.579,10.2,23.4,.146,,.467,6.5,77.1,.185
64,64,2022-03-07,@,DAL,L,103,111,110.6,119.2,93.1,.289,.373,.550,51.1,61.1,5.4,14.3,,.506,12.2,26.1,.229,,.540,8.5,78.6,.182
