,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-23,@,ORL,W,110,104,118.9,112.5,92.5,.302,.349,.564,51.1,56.8,4.3,3.6,,.506,9.3,26.1,.267,,.483,7.6,77.3,.216
34,34,2021-12-26,@,OKC,L,112,117,109.0,113.9,102.7,.298,.436,.527,51.0,66.7,9.7,8.0,,.468,8.6,21.6,.255,,.552,10.7,84.4,.256
35,35,2021-12-28,,CLE,W,108,104,118.3,113.9,91.3,.325,.450,.591,51.2,66.7,3.3,17.0,,.550,11.6,20.5,.250,,.500,6.8,76.6,.182
36,36,2022-01-01,@,MIL,L,113,136,105.1,126.4,107.6,.316,.537,.522,51.0,71.8,9.3,11.4,,.495,12.2,24.1,.200,,.658,11.5,90.0,.163
37,37,2022-01-03,,UTA,L,104,115,110.2,121.9,94.4,.227,.474,.487,52.2,53.8,7.4,10.9,,.464,8.6,34.0,.144,,.594,13.1,75.0,.165
38,38,2022-01-04,,PHO,L,110,123,112.8,126.2,97.5,.360,.371,.534,53.3,77.8,7.2,5.6,,.461,10.4,28.8,.315,,.641,9.6,86.8,.165
39,39,2022-01-06,,GSW,W,101,96,100.5,95.6,100.5,.349,.410,.527,51.7,57.1,7.0,9.3,,.470,15.1,18.6,.277,,.466,12.9,82.6,.172
40,40,2022-01-09,@,TOR,L,101,105,114.4,118.9,88.3,.333,.440,.587,43.2,58.8,5.7,9.8,,.533,13.1,18.4,.280,,.506,11.3,65.1,.224
41,41,2022-01-11,,MIN,W,128,125,127.5,124.5,100.4,.487,.434,.694,54.3,78.6,6.0,2.1,,.658,17.8,28.1,.368,,.593,11.5,76.3,.267
42,42,2022-01-13,,LAC,W,113,89,116.5,91.7,97.0,.165,.402,.543,55.3,53.5,8.2,8.5,,.515,5.5,24.1,.134,,.444,14.3,89.8,.210
43,43,2022-01-15,@,BRK,L,105,120,111.6,127.6,94.1,.276,.356,.538,44.3,67.5,9.6,5.3,,.511,10.1,25.5,.184,,.619,13.3,71.9,.190
44,44,2022-01-17,@,BOS,L,92,104,95.6,108.0,96.3,.207,.345,.485,46.6,63.9,10.4,8.3,,.466,10.4,16.0,.126,,.538,13.6,86.8,.225
45,45,2022-01-20,@,NYK,W,102,91,110.7,98.8,92.1,.289,.368,.595,42.2,71.1,10.9,5.1,,.572,12.3,8.1,.197,,.435,13.9,69.6,.312
46,46,2022-01-24,,IND,W,117,113,118.7,114.6,98.6,.352,.341,.576,52.3,56.1,7.1,9.8,,.500,9.8,27.9,.330,,.546,13.3,76.7,.207
47,47,2022-01-25,@,PHI,L,107,117,119.3,130.4,89.7,.313,.265,.566,47.0,65.0,5.6,13.2,,.536,7.8,26.8,.217,,.524,9.3,66.7,.345
