,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,2022-12-23,@,BRK,L,100,118,37,84,.440,9,37,.243,17,22,.773,13,45,17,7,1,18,13,,46,93,.495,14,32,.438,12,13,.923,12,45,30,11,2,10,18
33,33,2022-12-25,@,BOS,L,118,139,42,84,.500,13,36,.361,21,27,.778,8,39,22,8,1,15,16,,50,85,.588,19,39,.487,20,25,.800,5,35,29,9,1,11,18
34,34,2022-12-28,@,CHI,L,113,119,41,110,.373,9,44,.205,22,32,.688,22,61,18,7,6,14,21,,42,92,.457,9,23,.391,26,30,.867,7,52,21,5,10,13,23
35,35,2022-12-30,,MIN,W,123,114,43,93,.462,14,39,.359,23,33,.697,20,68,25,5,8,21,25,,40,92,.435,8,30,.267,26,34,.765,7,36,18,10,5,8,28
36,36,2023-01-01,,WAS,L,95,118,34,96,.354,13,49,.265,14,15,.933,14,44,22,11,3,16,15,,50,94,.532,7,27,.259,11,16,.688,12,54,29,9,6,17,10
37,37,2023-01-03,,WAS,W,123,113,48,100,.480,11,40,.275,16,17,.941,15,49,27,8,6,12,14,,42,97,.433,8,27,.296,21,23,.913,14,46,27,9,4,10,16
38,38,2023-01-04,@,TOR,W,104,101,35,88,.398,13,39,.333,21,30,.700,13,73,26,4,4,25,24,,38,116,.328,9,46,.196,16,20,.800,14,47,22,10,4,8,23
39,39,2023-01-06,,CHO,L,109,138,37,84,.440,20,48,.417,15,24,.625,12,45,22,5,4,16,18,,53,102,.520,20,48,.417,12,19,.632,13,49,32,11,3,5,17
40,40,2023-01-09,@,NYK,W,111,107,39,89,.438,19,49,.388,14,18,.778,12,48,27,3,5,14,17,,38,100,.380,11,41,.268,20,22,.909,18,48,16,8,1,7,14
41,41,2023-01-11,@,ATL,W,114,105,45,98,.459,18,48,.375,6,11,.545,14,57,28,6,4,10,15,,39,87,.448,11,30,.367,16,18,.889,6,41,25,5,3,11,12
