,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,DET,L,109,113,42,86,.488,11,30,.367,14,19,.737,10,48,21,5,5,18,24,,40,94,.426,14,38,.368,19,24,.792,12,41,31,11,4,12,21
2,2,2022-10-21,@,ATL,L,98,108,33,80,.413,8,34,.235,24,30,.800,10,44,16,9,7,19,19,,40,89,.449,13,31,.419,15,16,.938,9,46,26,10,2,17,22
3,3,2022-10-22,,BOS,L,120,126,45,95,.474,15,34,.441,15,23,.652,12,48,21,5,7,9,24,,42,87,.483,19,47,.404,23,28,.821,7,37,24,5,6,8,21
4,4,2022-10-24,@,NYK,L,102,115,36,86,.419,7,35,.200,23,27,.852,13,41,14,6,4,12,23,,43,93,.462,11,37,.297,18,25,.720,18,50,24,7,3,13,24
5,5,2022-10-26,@,CLE,L,92,103,35,81,.432,6,24,.250,16,21,.762,10,43,19,6,6,16,29,,36,87,.414,10,33,.303,21,30,.700,12,43,25,6,3,12,22
6,6,2022-10-28,,CHO,W,113,93,42,85,.494,10,37,.270,19,26,.731,5,48,28,8,5,12,22,,33,86,.384,11,38,.289,16,24,.667,10,47,21,3,4,14,18
7,7,2022-10-30,@,DAL,L,105,114,37,81,.457,11,29,.379,20,27,.741,11,47,20,2,5,12,23,,41,83,.494,11,35,.314,21,28,.750,5,37,15,10,1,4,22
8,8,2022-11-01,@,OKC,L,108,116,39,87,.448,10,29,.345,20,20,1.000,12,49,20,7,10,24,14,,45,95,.474,10,34,.294,16,20,.800,8,36,28,13,9,15,17
9,9,2022-11-03,,GSW,W,130,129,42,78,.538,13,30,.433,33,46,.717,11,46,20,9,6,19,22,,50,97,.515,19,43,.442,10,15,.667,9,35,31,5,3,14,32
10,10,2022-11-05,,SAC,L,123,126,50,92,.543,4,23,.174,19,20,.950,7,48,27,8,4,17,26,,47,93,.505,15,40,.375,17,26,.654,6,36,24,5,4,14,20
11,11,2022-11-07,,HOU,L,127,134,45,82,.549,12,25,.480,25,31,.806,11,37,27,7,4,19,25,,46,87,.529,24,48,.500,18,25,.720,14,40,31,9,6,20,23
12,12,2022-11-09,,DAL,W,94,87,36,73,.493,8,21,.381,14,21,.667,4,49,20,1,6,18,20,,32,85,.376,11,42,.262,12,19,.632,4,29,17,14,4,4,19
13,13,2022-11-11,,PHO,W,114,97,43,82,.524,15,33,.455,13,15,.867,9,50,23,2,4,13,11,,38,95,.400,13,42,.310,8,9,.889,11,38,22,7,4,11,14
14,14,2022-11-14,,CHO,L,105,112,36,88,.409,14,36,.389,19,23,.826,22,48,23,3,7,22,18,,42,88,.477,7,35,.200,21,24,.875,14,37,22,15,7,12,23
15,15,2022-11-16,,MIN,L,108,126,42,93,.452,9,35,.257,15,17,.882,12,47,21,6,5,16,26,,46,88,.523,12,36,.333,22,28,.786,8,40,28,15,6,10,15
16,16,2022-11-18,@,CHI,W,108,107,38,77,.494,12,28,.429,20,22,.909,6,41,25,4,7,16,25,,41,89,.461,5,21,.238,20,25,.800,13,46,27,6,6,11,19
17,17,2022-11-19,@,IND,L,113,114,39,91,.429,16,42,.381,19,26,.731,11,41,16,8,6,9,17,,41,90,.456,18,46,.391,14,19,.737,12,42,27,5,6,15,18
18,18,2022-11-21,@,IND,L,102,123,36,85,.424,11,35,.314,19,25,.760,12,38,20,10,2,17,25,,43,86,.500,13,46,.283,24,27,.889,12,48,32,9,5,21,23
19,19,2022-11-25,,PHI,L,99,107,34,80,.425,9,35,.257,22,27,.815,9,35,20,7,6,14,15,,39,82,.476,14,36,.389,15,18,.833,13,47,25,7,1,15,19
20,20,2022-11-27,,PHI,L,103,133,36,79,.456,12,40,.300,19,25,.760,7,26,21,9,4,15,20,,50,77,.649,11,27,.407,22,27,.815,6,43,32,10,8,14,19
21,21,2022-11-28,@,BRK,L,102,109,38,80,.475,13,31,.419,13,22,.591,9,35,18,9,5,18,18,,44,81,.543,9,28,.321,12,14,.857,8,42,20,7,8,16,19
22,22,2022-11-30,,ATL,L,108,125,39,79,.494,8,27,.296,22,25,.880,6,33,26,5,3,18,21,,51,94,.543,8,32,.250,15,19,.789,14,49,25,8,3,12,17
23,23,2022-12-02,@,CLE,L,96,107,40,81,.494,8,23,.348,8,12,.667,11,40,19,6,4,17,13,,41,84,.488,16,42,.381,9,9,1.000,5,33,22,7,5,12,14
24,24,2022-12-03,@,TOR,L,108,121,38,78,.487,11,28,.393,21,26,.808,5,29,23,9,2,15,20,,47,84,.560,9,29,.310,18,25,.720,12,43,31,12,4,16,24
25,25,2022-12-05,,MIL,L,102,109,34,93,.366,8,32,.250,26,29,.897,15,52,21,8,2,13,19,,38,85,.447,13,40,.325,20,26,.769,7,45,31,9,4,17,20
26,26,2022-12-07,,LAC,W,116,111,40,95,.421,8,28,.286,28,31,.903,16,53,20,8,5,12,21,,39,95,.411,15,41,.366,18,26,.692,17,53,26,3,9,15,19
27,27,2022-12-09,,TOR,W,113,109,42,71,.592,10,26,.385,19,21,.905,3,43,24,3,4,18,27,,36,85,.424,10,35,.286,27,33,.818,7,33,23,10,5,7,17
28,28,2022-12-11,,TOR,W,111,99,36,77,.468,14,31,.452,25,31,.806,11,42,25,3,7,14,28,,30,75,.400,6,25,.240,33,38,.868,7,28,18,9,7,9,25
29,29,2022-12-14,,ATL,W,135,124,47,93,.505,16,36,.444,25,30,.833,14,46,28,10,6,11,22,,44,88,.500,12,35,.343,24,27,.889,11,39,30,2,6,13,21
30,30,2022-12-16,@,BOS,W,117,109,42,91,.462,9,33,.273,24,28,.857,15,53,19,7,1,17,26,,35,84,.417,11,46,.239,28,34,.824,10,38,17,9,12,14,21
31,31,2022-12-18,@,BOS,W,95,92,33,86,.384,12,29,.414,17,19,.895,6,46,20,9,3,13,18,,31,89,.348,12,47,.255,18,21,.857,11,54,22,7,7,16,17
32,32,2022-12-19,@,ATL,L,125,126,45,95,.474,12,34,.353,23,25,.920,10,45,29,8,8,8,17,,48,94,.511,12,32,.375,18,20,.900,6,41,29,7,3,10,18
33,33,2022-12-21,@,HOU,W,116,110,41,91,.451,11,37,.297,23,33,.697,11,45,19,11,6,11,18,,41,88,.466,17,43,.395,11,17,.647,9,49,22,6,4,16,23
34,34,2022-12-23,,SAS,W,133,113,50,87,.575,17,32,.531,16,20,.800,7,44,30,8,2,17,15,,44,97,.454,12,38,.316,13,18,.722,13,38,28,10,6,13,18
35,35,2022-12-27,,LAL,L,110,129,42,84,.500,10,28,.357,16,25,.640,8,37,25,8,5,11,17,,49,90,.544,17,43,.395,14,17,.824,9,46,32,4,2,13,16
36,36,2022-12-28,@,DET,L,101,121,35,85,.412,5,22,.227,26,34,.765,15,47,24,5,5,13,26,,36,80,.450,18,42,.429,31,40,.775,11,49,25,7,4,13,25
37,37,2022-12-30,,WAS,L,100,119,42,100,.420,5,27,.185,11,16,.688,8,35,24,8,2,11,18,,42,75,.560,15,35,.429,20,25,.800,4,53,33,4,10,26,18
38,38,2023-01-04,,OKC,W,126,115,42,81,.519,13,33,.394,29,36,.806,13,49,26,6,5,16,22,,36,89,.404,15,37,.405,28,31,.903,9,33,23,9,3,9,23
39,39,2023-01-05,,MEM,L,115,123,39,84,.464,11,36,.306,26,30,.867,7,39,23,6,3,10,22,,48,92,.522,12,36,.333,15,23,.652,9,49,24,5,3,12,22
40,40,2023-01-07,@,GSW,W,115,101,44,87,.506,13,32,.406,14,24,.583,7,44,26,12,2,10,14,,33,88,.375,18,58,.310,17,21,.810,11,49,26,7,1,16,17
41,41,2023-01-09,@,SAC,L,111,136,41,90,.456,14,44,.318,15,20,.750,9,41,24,7,7,13,18,,52,97,.536,23,46,.500,9,12,.750,11,48,39,4,1,11,16
