,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-01-02,,NYK,W,120,105,122.1,106.8,98.3,.349,.395,.605,59.5,51.2,9.2,11.9,,.552,13.9,32.4,.291,,.526,15.8,82.5,.295
34,34,2022-01-04,,SAS,W,129,104,125.3,101.0,102.9,.302,.458,.593,51.0,66.7,12.6,13.3,,.563,9.9,32.7,.219,,.479,16.2,67.9,.137
35,35,2022-01-05,@,MIL,W,117,111,114.7,108.9,102.0,.281,.404,.585,49.4,57.1,7.8,8.7,,.562,12.3,21.7,.191,,.547,15.0,79.1,.212
36,36,2022-01-07,,UTA,W,122,108,124.5,110.2,98.0,.250,.410,.550,54.5,57.8,11.2,16.3,,.510,5.9,36.5,.200,,.586,19.1,80.6,.160
37,37,2022-01-09,,NOP,W,105,101,118.9,114.4,88.3,.235,.400,.560,56.8,50.0,9.1,7.1,,.506,11.3,34.9,.224,,.533,13.1,81.6,.280
38,38,2022-01-11,,PHO,L,95,99,105.9,110.4,89.7,.281,.416,.475,54.7,41.7,12.3,7.1,,.449,12.3,43.1,.169,,.547,19.3,71.4,.243
39,39,2022-01-14,@,DET,L,87,103,99.0,117.2,87.9,.299,.437,.442,51.7,64.3,5.7,7.4,,.385,10.1,32.0,.230,,.519,8.1,76.9,.235
40,40,2022-01-15,@,MIL,W,103,96,109.9,102.5,93.7,.220,.385,.516,54.9,62.5,7.5,21.1,,.505,12.3,33.3,.121,,.416,12.3,79.1,.416
41,41,2022-01-17,@,MIA,L,99,104,109.8,115.3,90.2,.189,.400,.508,47.9,64.9,10.0,8.5,,.483,10.1,29.4,.133,,.512,11.5,69.8,.229
42,42,2022-01-19,@,DAL,L,98,102,107.0,111.3,91.6,.275,.352,.480,49.4,48.6,12.0,2.3,,.429,10.5,31.4,.220,,.546,15.9,73.7,.250
43,43,2022-01-21,@,WAS,W,109,105,117.3,113.0,92.9,.189,.333,.559,47.1,47.6,10.8,7.7,,.528,7.6,24.4,.156,,.571,16.0,72.5,.094
44,44,2022-01-23,,POR,L,105,114,104.3,113.2,100.7,.143,.551,.504,47.8,71.8,14.9,15.1,,.490,12.6,28.8,.092,,.635,19.5,73.7,.071
45,45,2022-01-25,,CHO,W,125,113,127.0,114.8,98.4,.354,.415,.660,53.2,62.8,6.1,13.7,,.622,12.9,20.0,.280,,.549,11.1,79.5,.280
46,46,2022-01-26,@,CHI,L,105,111,112.8,119.3,93.1,.354,.392,.575,43.0,63.2,8.6,8.6,,.557,11.6,18.6,.215,,.589,12.5,72.2,.143
47,47,2022-01-29,@,MIA,W,124,120,105.6,102.2,89.5,.168,.421,.540,46.5,51.1,12.8,15.0,,.514,12.2,22.2,.131,,.482,16.2,68.3,.127
48,48,2022-01-31,@,ATL,W,106,100,109.5,103.3,96.8,.191,.404,.549,48.3,55.3,7.2,16.3,,.528,7.7,12.8,.135,,.531,14.6,88.1,.173
49,49,2022-02-01,,MIA,W,110,106,119.1,114.8,92.3,.358,.321,.587,53.1,51.3,9.7,6.3,,.556,13.8,34.9,.247,,.538,15.2,73.7,.282
50,50,2022-02-03,,CHI,W,127,120,118.7,112.2,96.9,.168,.319,.523,53.2,62.5,9.3,8.2,,.487,9.0,34.9,.150,,.544,14.5,78.3,.244
51,51,2022-02-04,,ATL,W,125,114,131.5,119.9,95.1,.222,.333,.703,52.9,63.0,7.4,6.3,,.673,13.6,22.9,.198,,.511,8.1,74.0,.204
52,52,2022-02-07,@,CHO,W,116,101,115.3,100.3,100.6,.345,.417,.599,57.3,51.2,8.9,9.1,,.577,15.7,32.6,.226,,.458,11.3,80.4,.147
53,53,2022-02-09,@,OKC,W,117,98,121.6,101.9,96.2,.159,.398,.621,50.0,48.9,9.4,10.0,,.585,14.5,24.4,.159,,.494,15.4,71.4,.138
54,54,2022-02-10,@,HOU,W,139,120,138.3,119.4,100.5,.227,.402,.651,47.4,47.2,11.9,6.8,,.624,9.3,33.3,.186,,.622,18.1,63.9,.220
55,55,2022-02-12,,DEN,L,109,110,116.0,117.0,94.0,.193,.386,.571,41.2,51.2,11.7,2.1,,.557,6.8,17.4,.125,,.548,15.4,69.2,.214
56,56,2022-02-14,@,NOP,L,90,120,98.1,130.8,91.7,.326,.358,.414,48.4,27.6,7.6,7.1,,.347,5.2,30.6,.253,,.688,13.4,86.2,.182
57,57,2022-02-16,@,MIN,W,103,91,106.1,93.7,97.1,.216,.284,.534,53.3,52.5,7.2,17.1,,.500,11.9,20.0,.170,,.455,13.5,86.7,.273
58,58,2022-02-25,@,CHO,L,93,125,94.2,126.5,98.8,.274,.274,.494,40.9,48.6,6.1,7.4,,.476,14.5,20.4,.155,,.633,14.0,66.7,.064
59,59,2022-02-26,@,ATL,L,100,127,100.5,127.6,99.5,.200,.337,.484,48.3,65.8,5.0,3.8,,.453,9.6,21.6,.147,,.657,11.5,86.1,.217
60,60,2022-02-28,@,BRK,W,133,97,131.5,95.9,101.1,.222,.384,.612,51.1,68.6,16.8,9.8,,.606,9.9,34.0,.131,,.453,18.6,68.9,.221
61,61,2022-03-01,,BRK,W,109,108,115.0,114.0,94.7,.256,.256,.544,56.5,65.9,5.3,3.4,,.494,11.5,34.8,.222,,.560,11.5,82.1,.167
62,62,2022-03-03,,DET,L,106,108,116.7,118.9,90.9,.434,.313,.536,49.4,33.3,5.5,8.5,,.476,9.2,31.1,.325,,.518,8.5,71.1,.250
63,63,2022-03-04,,ORL,L,97,103,98.9,105.0,98.0,.183,.398,.483,49.5,59.5,2.0,13.8,,.462,10.7,21.8,.118,,.437,7.1,77.8,.211
64,64,2022-03-06,@,CLE,L,96,104,100.2,108.6,95.8,.277,.255,.455,43.7,45.9,13.6,6.1,,.426,6.2,24.6,.170,,.524,15.2,67.4,.176
65,65,2022-03-09,@,SAS,W,119,104,127.1,111.1,93.6,.329,.353,.611,56.6,29.3,7.5,1.9,,.547,9.3,31.0,.306,,.506,11.5,82.9,.226
66,66,2022-03-11,@,PHO,W,117,112,112.4,107.6,104.1,.223,.340,.567,54.5,45.2,10.6,7.7,,.521,12.7,25.5,.202,,.563,14.4,87.8,.148
67,67,2022-03-12,@,DEN,W,127,115,132.9,120.3,95.6,.245,.304,.562,56.2,58.3,12.6,11.8,,.529,5.8,43.4,.186,,.622,17.7,75.0,.231
68,68,2022-03-14,@,LAL,W,114,103,112.5,101.6,101.3,.375,.385,.510,59.8,61.5,7.9,20.0,,.458,9.7,35.8,.271,,.466,11.5,83.3,.253
69,69,2022-03-16,@,LAC,W,103,100,117.4,114.0,87.7,.253,.386,.558,51.2,36.8,5.7,2.1,,.524,10.7,29.5,.193,,.558,14.2,75.0,.167
70,70,2022-03-18,,LAL,L,123,128,122.6,127.6,90.9,.206,.381,.581,51.7,51.0,8.0,3.8,,.567,10.2,34.8,.134,,.589,11.0,69.8,.156
