,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2021-12-26,,DEN,L,100,103,100.2,103.2,99.8,.209,.302,.532,48.9,65.0,8.0,13.0,,.512,13.0,17.4,.140,,.489,12.3,79.2,.105
34,34,2021-12-27,,BRK,L,108,124,108.6,124.7,99.5,.278,.381,.496,48.9,67.6,7.0,7.4,,.454,9.2,29.8,.206,,.642,12.0,80.0,.125
35,35,2021-12-29,@,BOS,W,91,82,101.8,91.8,89.4,.210,.346,.514,49.5,51.5,5.6,6.8,,.475,13.7,23.7,.173,,.366,7.0,65.6,.079
36,36,2021-12-31,@,TOR,L,108,116,113.8,122.3,94.9,.244,.436,.625,40.7,71.1,6.3,11.5,,.583,12.2,7.7,.218,,.474,6.0,65.4,.260
37,37,2022-01-01,@,BRK,W,120,116,118.6,114.6,101.2,.360,.419,.602,41.2,54.8,6.9,9.4,,.570,9.1,14.9,.256,,.490,11.5,66.0,.216
38,38,2022-01-03,,MIN,L,104,122,104.1,122.2,99.9,.218,.410,.608,43.7,56.4,12.0,6.3,,.571,19.0,12.1,.192,,.613,14.9,71.1,.086
39,39,2022-01-06,@,PHO,L,89,106,91.4,108.9,97.4,.291,.326,.459,43.8,64.5,5.1,9.2,,.395,11.0,16.0,.244,,.458,6.7,66.1,.075
40,40,2022-01-08,,MEM,L,108,123,105.7,120.4,102.2,.250,.333,.507,46.7,41.0,6.8,9.7,,.458,10.1,25.9,.208,,.500,7.3,68.6,.230
41,41,2022-01-09,,ATL,W,106,93,115.2,101.1,92.0,.076,.359,.557,54.7,54.5,5.4,7.7,,.543,11.2,28.3,.065,,.494,13.1,85.0,.205
42,42,2022-01-11,,DEN,W,87,85,94.0,91.9,92.5,.143,.405,.487,35.6,67.6,13.0,8.5,,.464,9.2,6.5,.107,,.425,17.6,68.3,.213
43,43,2022-01-13,@,NOP,L,89,113,91.7,116.5,97.0,.247,.420,.496,44.7,61.3,2.1,12.1,,.444,14.3,10.2,.210,,.515,5.5,75.9,.134
44,44,2022-01-15,@,SAS,L,94,101,101.4,109.0,92.7,.080,.380,.454,50.0,63.2,8.6,8.7,,.440,11.9,35.0,.060,,.476,12.9,68.8,.265
45,45,2022-01-17,,IND,W,139,133,139.6,133.6,99.6,.439,.439,.710,47.4,71.1,7.0,10.9,,.659,10.1,23.5,.378,,.582,10.1,65.9,.206
46,46,2022-01-19,@,DEN,L,128,130,124.3,126.3,93.2,.124,.402,.626,51.6,67.3,5.8,5.0,,.613,10.5,27.9,.093,,.556,9.9,72.9,.214
47,47,2022-01-21,@,PHI,W,102,101,111.5,110.4,91.5,.172,.368,.545,52.7,52.5,5.5,0.0,,.523,9.7,24.4,.126,,.473,6.5,75.0,.165
48,48,2022-01-23,@,NYK,L,102,110,107.5,115.9,94.9,.380,.519,.553,43.5,58.8,7.4,10.9,,.519,11.5,14.0,.253,,.516,10.8,69.4,.176
49,49,2022-01-25,@,WAS,W,116,115,111.4,110.4,104.2,.330,.309,.539,48.0,71.8,8.6,9.4,,.473,9.3,22.2,.287,,.519,15.6,78.3,.400
50,50,2022-01-26,@,ORL,W,111,102,114.0,104.8,97.3,.333,.358,.598,55.7,55.6,7.2,2.0,,.537,13.9,20.5,.296,,.506,12.2,83.7,.202
51,51,2022-01-28,@,MIA,L,114,121,110.2,117.0,103.5,.348,.380,.537,42.0,53.7,6.8,5.9,,.495,10.9,18.8,.250,,.559,15.7,70.0,.306
52,52,2022-01-30,@,CHO,W,115,90,111.2,87.0,103.4,.226,.333,.623,57.7,52.3,4.8,9.4,,.589,15.5,15.4,.190,,.367,6.8,83.1,.184
53,53,2022-01-31,@,IND,L,116,122,117.6,123.7,98.6,.135,.458,.570,45.1,55.6,7.1,7.6,,.547,8.1,20.4,.115,,.600,9.9,73.8,.084
54,54,2022-02-03,,LAL,W,111,110,117.7,116.7,94.3,.124,.337,.591,49.4,63.0,5.3,10.2,,.590,6.9,17.5,.067,,.528,9.2,76.6,.193
55,55,2022-02-06,,MIL,L,113,137,111.6,135.3,101.3,.167,.479,.548,46.8,65.0,5.9,4.0,,.510,8.8,18.9,.156,,.653,9.1,82.9,.250
56,56,2022-02-08,@,MEM,L,109,135,105.7,130.9,103.2,.270,.348,.547,42.1,62.5,7.8,9.1,,.511,14.6,24.4,.202,,.558,10.2,58.0,.194
57,57,2022-02-10,@,DAL,L,105,112,111.6,119.0,94.1,.309,.284,.571,43.1,61.5,9.6,5.1,,.537,9.8,10.8,.222,,.571,12.6,77.1,.295
58,58,2022-02-12,@,DAL,W,99,97,106.4,104.3,93.0,.134,.268,.570,48.8,53.5,7.5,8.7,,.567,13.9,16.2,.073,,.500,13.0,73.5,.141
59,59,2022-02-14,,GSW,W,119,104,122.8,107.3,96.9,.176,.400,.650,53.1,52.1,6.2,6.7,,.653,11.6,16.2,.094,,.547,13.2,84.1,.116
60,60,2022-02-15,@,PHO,L,96,103,98.2,105.4,97.8,.093,.361,.475,46.9,65.0,11.3,13.8,,.464,11.4,24.5,.062,,.533,14.5,73.3,.078
61,61,2022-02-17,,HOU,W,142,111,136.9,107.1,103.7,.283,.380,.686,58.8,66.7,11.6,9.3,,.652,13.4,34.3,.239,,.533,15.3,76.0,.154
62,62,2022-02-25,@,LAL,W,105,102,106.5,103.5,98.6,.229,.313,.575,50.0,61.0,8.1,12.9,,.554,14.1,17.1,.157,,.462,10.5,75.5,.172
63,63,2022-02-27,@,HOU,W,99,98,102.3,101.3,96.8,.364,.442,.554,61.5,52.9,4.1,24.0,,.513,16.8,24.4,.260,,.473,5.7,89.1,.120
64,64,2022-03-01,@,HOU,W,113,100,115.1,101.8,98.2,.177,.323,.546,55.0,57.1,7.1,14.0,,.505,12.7,35.4,.167,,.464,11.2,73.1,.115
65,65,2022-03-03,,LAL,W,132,111,138.0,116.0,95.7,.161,.290,.663,56.1,62.7,10.5,6.1,,.640,9.1,32.5,.140,,.560,13.0,78.6,.202
66,66,2022-03-06,,NYK,L,93,116,96.9,120.8,96.0,.250,.386,.476,43.0,51.5,2.1,8.3,,.438,9.3,17.6,.182,,.545,8.9,69.4,.213
67,67,2022-03-08,@,GSW,L,97,112,95.8,110.6,101.2,.247,.419,.470,48.0,69.7,11.9,5.2,,.419,11.2,22.6,.204,,.549,14.1,77.8,.120
68,68,2022-03-09,,WAS,W,115,109,120.0,113.8,95.8,.151,.372,.627,50.0,48.8,6.3,16.7,,.593,11.6,17.9,.151,,.529,11.1,79.1,.195
69,69,2022-03-11,@,ATL,L,106,112,114.9,121.4,92.3,.207,.390,.592,43.4,55.0,7.6,5.1,,.561,11.8,15.8,.171,,.528,9.2,66.7,.189
70,70,2022-03-13,@,DET,W,106,102,117.8,113.4,90.0,.225,.337,.542,51.1,62.5,5.6,5.9,,.506,5.8,23.4,.180,,.525,10.1,81.4,.225
