,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,2021-12-25,@,UTA,L,116,120,38,89,.427,10,30,.333,30,35,.857,8,43,19,7,3,13,31,,40,90,.444,12,36,.333,28,37,.757,13,49,24,9,6,14,24
33,33,2021-12-27,@,POR,W,132,117,48,84,.571,12,33,.364,24,33,.727,10,41,38,6,4,13,31,,35,82,.427,12,40,.300,35,42,.833,8,33,19,4,5,11,28
34,34,2021-12-29,@,SAC,L,94,95,38,81,.469,9,24,.375,9,13,.692,7,36,23,7,5,11,19,,36,75,.480,10,26,.385,13,15,.867,7,38,21,5,2,14,21
35,35,2021-12-31,@,SAC,W,112,96,42,81,.519,9,22,.409,19,22,.864,10,47,30,5,7,11,14,,38,91,.418,10,29,.345,10,12,.833,8,33,25,7,4,10,16
36,36,2022-01-02,@,OKC,W,95,86,38,85,.447,14,39,.359,5,7,.714,7,48,28,9,3,16,12,,35,85,.412,10,30,.333,6,9,.667,7,41,20,11,4,11,16
37,37,2022-01-03,,DEN,W,103,89,35,78,.449,14,37,.378,19,21,.905,5,28,23,12,5,11,21,,31,67,.463,6,25,.240,21,29,.724,11,47,21,6,1,25,24
38,38,2022-01-05,,GSW,W,99,82,33,87,.379,12,40,.300,21,26,.808,10,46,22,6,5,12,15,,33,81,.407,5,28,.179,11,16,.688,8,46,20,10,5,16,20
39,39,2022-01-07,@,HOU,W,130,106,49,90,.544,17,38,.447,15,28,.536,11,55,34,6,4,14,24,,37,87,.425,12,43,.279,20,29,.690,7,40,17,6,3,13,20
40,40,2022-01-09,,CHI,W,113,99,44,88,.500,16,36,.444,9,9,1.000,7,48,28,4,2,9,14,,39,90,.433,11,33,.333,10,13,.769,8,39,23,8,3,7,15
41,41,2022-01-12,@,NYK,L,85,108,32,78,.410,8,37,.216,13,19,.684,5,39,16,6,2,13,18,,42,90,.467,12,27,.444,12,15,.800,11,54,24,5,4,9,21
42,42,2022-01-14,@,MEM,W,112,85,47,91,.516,8,32,.250,10,16,.625,8,52,30,8,1,13,19,,34,89,.382,7,31,.226,10,13,.769,10,41,19,8,6,14,16
