 
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-26,@,CHI,W,133,118,132.7,117.7,100.2,.244,.489,.667,56.3,56.0,7.0,8.8,,.650,10.7,22.9,.178,,.560,7.3,82.2,.163
34,34,2022-12-27,@,BOS,L,102,126,102.7,126.9,99.3,.147,.474,.504,50.0,63.2,5.0,5.7,,.474,11.4,24.5,.126,,.582,9.0,80.0,.220
35,35,2022-12-29,@,DAL,L,114,129,112.5,127.3,101.4,.430,.395,.557,52.2,55.3,4.9,0.0,,.512,10.5,24.0,.302,,.615,7.3,85.7,.187
36,36,2022-12-31,,NYK,L,88,108,91.9,112.8,95.8,.299,.597,.505,53.1,69.0,4.2,15.4,,.468,21.6,28.6,.208,,.472,8.8,71.4,.256
37,37,2023-01-02,,DAL,L,106,111,112.6,117.9,94.1,.354,.354,.559,52.9,55.3,4.2,10.5,,.518,9.5,19.5,.256,,.500,7.7,82.6,.370
38,38,2023-01-04,@,NOP,L,108,119,110.6,121.8,97.7,.307,.432,.541,45.7,64.1,10.2,7.8,,.511,11.5,25.0,.205,,.539,12.2,67.4,.258
39,39,2023-01-05,,UTA,L,114,131,115.0,132.1,99.2,.283,.457,.551,53.8,50.0,4.0,6.7,,.495,11.9,29.8,.250,,.597,7.3,79.5,.215
40,40,2023-01-08,,MIN,L,96,104,98.9,107.1,97.1,.169,.404,.502,48.2,68.4,8.2,13.5,,.489,15.8,25.5,.101,,.538,15.9,76.3,.225
41,41,2023-01-11,@,SAC,L,115,135,108.8,127.7,105.7,.177,.427,.556,51.6,68.2,6.6,6.5,,.542,11.2,18.2,.115,,.580,7.7,81.6,.277
42,42,2023-01-13,@,SAC,L,114,139,115.5,140.9,98.7,.275,.407,.559,42.5,53.5,10.1,8.7,,.538,12.8,27.3,.176,,.663,12.4,61.1,.291
43,43,2023-01-15,@,LAC,L,100,121,99.6,120.5,100.4,.274,.369,.531,47.0,57.9,8.0,10.7,,.494,17.5,23.3,.202,,.602,13.4,72.5,.170
44,44,2023-01-16,@,LAL,L,132,140,133.6,141.7,98.8,.310,.300,.581,55.2,57.1,0.0,12.1,,.545,6.6,36.2,.230,,.604,1.8,77.5,.330
45,45,2023-01-18,,CHO,L,117,122,113.9,118.7,102.8,.220,.352,.586,56.0,45.7,3.9,8.3,,.560,16.0,31.6,.165,,.547,7.8,76.1,.177
46,46,2023-01-21,@,MIN,L,104,113,105.1,114.2,98.9,.418,.304,.556,65.1,63.2,4.0,14.3,,.538,18.3,35.7,.241,,.560,10.5,93.2,.241
47,47,2023-01-23,,MIN,W,119,114,112.6,107.9,105.7,.341,.341,.588,53.4,54.5,10.4,10.2,,.563,16.5,29.3,.227,,.538,15.9,74.5,.176
48,48,2023-01-25,,WAS,L,103,108,105.1,110.2,98.0,.206,.289,.487,54.3,69.0,5.1,16.7,,.459,11.7,34.0,.144,,.459,6.1,72.7,.184
49,49,2023-01-26,,CLE,L,95,113,101.2,120.4,93.9,.263,.276,.560,56.1,61.5,5.3,11.8,,.546,20.6,28.6,.158,,.546,8.5,76.6,.207
50,50,2023-01-28,@,DET,W,117,114,115.6,112.6,101.2,.293,.293,.563,57.8,45.5,7.9,8.9,,.522,14.1,37.2,.228,,.542,14.2,80.0,.289
51,51,2023-02-01,,OKC,W,112,106,115.9,109.6,96.7,.330,.245,.520,55.6,48.8,6.2,20.0,,.473,13.6,46.2,.245,,.427,8.2,63.1,.175
52,52,2023-02-03,,TOR,L,111,117,114.2,120.4,97.2,.413,.263,.587,48.2,55.0,5.1,7.8,,.544,12.1,16.7,.300,,.539,8.1,72.3,.222
53,53,2023-02-04,@,OKC,L,121,153,116.7,147.6,103.6,.303,.337,.600,44.7,64.4,3.9,15.7,,.562,12.9,21.4,.236,,.686,6.9,73.5,.206
54,54,2023-02-06,,SAC,L,120,140,122.7,143.1,97.8,.273,.364,.609,52.7,61.4,5.1,8.3,,.574,11.7,28.2,.216,,.702,9.4,80.0,.169
55,55,2023-02-08,,SAC,L,128,130,128.5,130.5,99.6,.326,.256,.651,58.7,53.2,4.0,11.3,,.605,16.2,41.7,.279,,.554,7.9,74.4,.304
56,56,2023-02-10,@,MIA,L,95,97,98.6,100.6,96.4,.286,.357,.502,54.0,65.7,11.4,10.3,,.458,14.5,22.7,.214,,.494,15.6,86.0,.273
57,57,2023-02-13,@,PHI,L,104,123,107.0,126.5,97.2,.360,.279,.522,52.5,48.6,10.3,4.2,,.442,14.6,32.6,.326,,.652,15.2,79.4,.195
58,58,2023-02-15,@,OKC,L,96,133,91.8,127.2,104.6,.427,.416,.454,49.0,66.7,4.8,13.2,,.393,13.9,26.4,.292,,.534,8.5,76.7,.460
