,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,2022-12-27,,DEN,L,106,113,40,82,.488,10,35,.286,16,19,.842,8,39,20,8,2,16,18,,41,86,.477,13,37,.351,18,21,.857,10,40,34,12,3,13,18
33,33,2022-12-28,,DEN,W,127,126,47,89,.528,14,31,.452,19,25,.760,11,34,32,10,6,12,17,,49,85,.576,12,27,.444,16,18,.889,7,34,31,6,8,16,24
34,34,2022-12-30,,UTA,W,126,125,50,90,.556,12,30,.400,14,19,.737,10,38,32,5,3,15,21,,46,84,.548,8,32,.250,25,30,.833,7,37,30,7,2,13,20
35,35,2023-01-01,@,MEM,L,108,118,39,96,.406,15,43,.349,15,15,1.000,14,47,24,7,4,15,18,,46,100,.460,10,32,.313,16,24,.667,21,57,25,11,8,11,18
36,36,2023-01-03,@,UTA,W,117,115,46,86,.535,9,32,.281,16,18,.889,7,40,23,7,4,17,26,,38,88,.432,13,44,.295,26,29,.897,12,44,21,9,3,16,19
37,37,2023-01-04,,ATL,L,117,120,41,88,.466,10,25,.400,25,27,.926,10,42,26,9,3,10,19,,45,84,.536,10,30,.333,20,22,.909,7,44,21,9,4,15,21
38,38,2023-01-07,,LAL,L,134,136,45,86,.523,14,32,.438,30,37,.811,13,34,25,5,4,14,26,,50,82,.610,9,21,.429,27,33,.818,10,38,26,4,3,17,25
39,39,2023-01-09,,ORL,W,136,111,52,97,.536,23,46,.500,9,12,.750,11,48,39,4,1,11,16,,41,90,.456,14,44,.318,15,20,.750,9,41,24,7,7,13,18
40,40,2023-01-11,,HOU,W,135,115,45,94,.479,19,48,.396,26,31,.839,9,45,28,4,4,9,19,,44,96,.458,16,41,.390,11,17,.647,8,48,30,7,3,13,23
41,41,2023-01-13,,HOU,W,139,114,47,86,.547,20,40,.500,25,29,.862,14,46,34,10,8,14,19,,43,91,.473,12,37,.324,16,25,.640,12,34,23,10,4,15,24
42,42,2023-01-15,@,SAS,W,132,119,49,89,.551,14,30,.467,20,25,.800,7,38,24,5,2,5,19,,48,93,.516,10,26,.385,13,20,.650,11,40,27,1,3,10,21
43,43,2023-01-18,@,LAL,W,116,111,43,87,.494,9,30,.300,21,27,.778,14,47,23,3,5,11,14,,43,89,.483,11,34,.324,14,18,.778,6,36,26,9,3,6,20
