,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-25,@,BOS,L,118,139,117.3,138.2,100.6,.321,.429,.615,52.7,52.4,8.0,2.2,,.577,13.5,21.1,.250,,.700,10.3,86.1,.235
34,34,2022-12-28,@,CHI,L,113,119,102.1,107.5,100.3,.291,.400,.455,54.0,43.9,6.3,8.7,,.414,10.1,32.8,.200,,.505,11.0,84.8,.283
35,35,2022-12-30,,MIN,W,123,114,116.1,107.6,105.9,.355,.419,.572,65.4,58.1,4.7,12.9,,.538,16.3,40.8,.247,,.478,7.0,87.3,.283
36,36,2023-01-01,,WAS,L,95,118,92.5,114.9,102.7,.156,.510,.463,44.9,64.7,10.7,4.5,,.422,13.5,25.0,.146,,.569,14.4,71.4,.117
37,37,2023-01-03,,WAS,W,123,113,123.0,113.0,100.0,.170,.400,.572,51.6,56.3,8.0,8.6,,.535,10.0,31.9,.160,,.474,8.5,70.8,.216
38,38,2023-01-04,@,TOR,W,104,101,92.4,89.7,102.0,.341,.443,.514,60.8,74.3,3.6,5.7,,.472,19.8,28.3,.239,,.366,6.0,81.1,.138
39,39,2023-01-06,,CHO,L,109,138,110.8,140.2,98.4,.286,.571,.576,47.9,59.5,5.1,7.4,,.560,14.5,25.0,.179,,.618,4.3,71.7,.118
40,40,2023-01-09,@,NYK,W,111,107,117.7,113.5,94.3,.202,.551,.573,50.0,69.2,3.2,8.5,,.545,12.6,28.6,.157,,.435,6.0,66.7,.200
41,41,2023-01-11,@,ATL,W,114,105,116.9,107.6,97.6,.112,.490,.554,58.2,62.2,6.2,7.0,,.551,8.9,28.6,.061,,.511,10.4,87.8,.184
42,42,2023-01-12,@,MIA,L,102,108,108.6,115.0,93.9,.172,.655,.545,39.0,57.1,10.6,3.3,,.529,9.7,15.7,.115,,.489,11.3,63.3,.158
43,43,2023-01-14,@,MIA,L,95,111,106.8,124.8,89.0,.143,.571,.532,38.6,76.5,7.9,3.1,,.518,10.1,15.6,.095,,.580,10.7,65.8,.115
44,44,2023-01-16,,IND,W,132,119,131.8,118.8,100.1,.165,.505,.676,52.6,66.7,9.0,2.3,,.654,11.8,21.4,.143,,.625,14.2,88.9,.167
45,45,2023-01-17,,TOR,W,130,122,131.3,123.2,99.0,.244,.453,.682,45.7,52.2,5.0,7.6,,.645,10.4,16.7,.221,,.520,7.4,64.3,.168
46,46,2023-01-21,@,CLE,L,102,114,108.8,121.6,93.8,.128,.453,.561,46.8,61.5,3.2,9.4,,.535,13.4,17.9,.116,,.599,8.8,76.3,.128
47,47,2023-01-23,@,DET,W,150,130,134.0,116.1,112.0,.245,.531,.691,54.9,69.1,9.8,10.9,,.679,14.2,30.2,.173,,.569,16.1,77.1,.356
48,48,2023-01-25,,DEN,W,107,99,102.0,94.4,104.9,.359,.385,.592,49.0,43.2,10.5,11.1,,.558,19.6,16.3,.256,,.448,15.4,73.7,.124
49,49,2023-01-27,@,IND,W,141,131,128.3,119.2,109.9,.316,.439,.631,56.8,61.5,10.0,5.4,,.622,12.5,29.8,.194,,.624,11.4,87.8,.225
50,50,2023-01-29,,NOP,W,135,110,130.5,106.4,103.4,.208,.448,.644,60.0,50.9,6.8,6.8,,.641,9.5,28.6,.125,,.511,10.5,84.9,.161
51,51,2023-01-31,,CHO,W,124,115,111.2,103.2,111.5,.257,.419,.530,51.6,41.9,6.3,11.1,,.481,9.3,26.7,.219,,.428,8.2,73.5,.180
52,52,2023-02-02,,LAC,W,106,105,105.1,104.1,100.9,.300,.411,.520,52.0,41.0,2.0,0.0,,.483,8.9,16.7,.211,,.479,6.3,83.3,.147
53,53,2023-02-04,,MIA,W,123,115,121.7,113.7,101.1,.318,.455,.613,53.7,50.0,5.9,5.7,,.602,10.7,24.4,.193,,.485,6.0,75.9,.168
54,54,2023-02-06,@,POR,W,127,108,120.9,102.9,105.0,.241,.483,.660,66.3,57.4,3.8,3.6,,.632,12.7,20.6,.195,,.456,7.2,98.0,.275
55,55,2023-02-09,@,LAL,W,115,106,118.4,109.1,97.2,.182,.475,.538,54.3,53.3,5.1,9.9,,.515,8.6,33.3,.131,,.511,10.9,76.1,.169
56,56,2023-02-10,@,LAC,W,119,106,123.2,109.7,96.6,.178,.433,.613,58.3,62.2,8.3,7.7,,.594,10.2,22.0,.133,,.559,9.0,93.0,.129
57,57,2023-02-14,,BOS,W,131,125,118.0,112.6,100.5,.389,.467,.621,54.2,67.4,5.4,6.1,,.578,14.6,21.7,.300,,.551,10.8,84.0,.162
58,58,2023-02-16,@,CHI,W,112,100,120.0,107.1,93.4,.205,.534,.584,50.5,60.0,4.3,10.8,,.557,7.7,20.0,.159,,.433,4.5,74.1,.165
59,59,2023-02-24,,MIA,W,128,99,124.2,96.1,103.1,.194,.469,.602,55.9,57.4,5.8,1.9,,.577,8.6,21.7,.153,,.440,8.8,83.9,.196
60,60,2023-02-26,,PHO,W,104,101,110.2,107.0,94.4,.241,.517,.540,45.0,39.5,4.2,9.9,,.511,10.3,23.4,.172,,.463,10.3,64.2,.137
61,61,2023-02-28,@,BRK,W,118,104,108.6,95.7,108.6,.118,.363,.550,59.1,64.0,9.2,6.4,,.559,13.7,23.9,.039,,.506,15.3,93.6,.241
62,62,2023-03-01,,ORL,W,139,117,134.5,113.2,103.4,.202,.596,.679,47.9,59.2,3.9,1.6,,.660,7.2,17.4,.160,,.505,10.9,76.0,.234
63,63,2023-03-04,,PHI,L,130,133,138.6,141.8,93.8,.337,.410,.682,57.3,68.2,3.2,6.4,,.633,12.0,32.4,.301,,.607,4.7,78.0,.369
64,64,2023-03-05,@,WAS,W,117,111,120.0,113.8,97.5,.265,.590,.631,44.6,76.9,5.1,7.8,,.602,11.5,16.3,.205,,.463,7.4,65.5,.102
65,65,2023-03-07,@,ORL,W,134,123,125.8,115.5,106.5,.436,.359,.721,50.0,60.9,4.7,7.1,,.654,14.7,9.7,.410,,.545,10.7,77.8,.140
66,66,2023-03-09,,BRK,W,118,113,114.2,109.4,103.3,.135,.481,.536,56.5,75.0,7.7,17.6,,.514,12.7,38.5,.106,,.462,10.4,73.2,.163
