,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
33,33,2022-12-21,@,HOU,W,116,110,113.8,107.9,102.0,.363,.407,.550,47.9,46.3,10.8,13.3,,.511,9.4,21.6,.253,,.563,14.4,79.1,.125
34,34,2022-12-23,,SAS,W,133,113,129.3,109.8,102.9,.230,.368,.694,53.7,60.0,7.8,3.4,,.672,15.1,21.9,.184,,.515,11.0,74.0,.134
35,35,2022-12-27,,LAL,L,110,129,112.0,131.4,98.2,.298,.333,.579,44.6,59.5,8.1,10.6,,.560,10.4,17.8,.190,,.639,11.8,76.3,.156
36,36,2022-12-28,@,DET,L,101,121,104.4,125.1,96.7,.400,.259,.505,49.0,68.6,5.2,13.2,,.441,11.5,28.3,.306,,.563,11.8,74.4,.388
37,37,2022-12-30,,WAS,L,100,119,93.0,110.6,107.6,.160,.270,.467,39.8,57.1,7.4,5.0,,.445,9.3,14.0,.110,,.660,23.2,87.1,.267
38,38,2023-01-04,,OKC,W,126,115,128.7,117.5,97.9,.444,.407,.651,59.8,61.9,6.1,9.6,,.599,14.2,35.1,.358,,.489,8.1,80.0,.315
39,39,2023-01-05,,MEM,L,115,123,114.0,122.0,100.8,.357,.429,.592,44.3,59.0,5.9,5.4,,.530,9.3,14.9,.310,,.587,10.5,78.0,.163
40,40,2023-01-07,@,GSW,W,115,101,116.0,101.8,99.2,.276,.368,.589,47.3,59.1,12.1,6.7,,.580,9.3,15.6,.161,,.477,14.1,77.1,.193
41,41,2023-01-09,@,SAC,L,111,136,110.3,135.2,100.6,.222,.489,.562,46.1,58.5,7.0,13.7,,.533,11.6,19.6,.167,,.655,9.7,74.4,.093
42,42,2023-01-10,@,POR,W,109,106,113.0,109.9,96.5,.321,.308,.612,44.9,47.5,10.4,3.8,,.571,15.2,16.7,.256,,.517,14.4,69.0,.184
43,43,2023-01-13,@,UTA,L,108,112,102.9,106.8,104.9,.167,.375,.524,40.4,54.8,12.4,6.3,,.510,12.7,20.8,.104,,.500,19.3,63.0,.349
44,44,2023-01-15,@,DEN,L,116,119,117.4,120.5,98.8,.405,.345,.586,48.8,58.5,7.1,4.0,,.530,11.6,25.6,.321,,.612,13.3,70.7,.112
45,45,2023-01-20,,NOP,W,123,110,126.1,112.8,97.6,.453,.400,.684,51.9,71.8,2.1,8.9,,.620,13.5,15.2,.400,,.505,9.0,77.1,.198
46,46,2023-01-21,@,WAS,L,118,138,116.7,136.5,101.1,.267,.378,.587,47.1,57.1,3.0,16.4,,.544,9.0,19.6,.222,,.632,7.0,78.0,.189
47,47,2023-01-23,,BOS,W,113,98,119.3,103.5,94.7,.286,.321,.598,51.9,51.2,10.6,8.1,,.577,9.6,21.6,.190,,.542,17.0,80.0,.096
48,48,2023-01-25,,IND,W,126,120,129.3,123.1,97.5,.305,.341,.677,51.5,73.9,8.2,14.0,,.652,15.5,29.0,.232,,.571,12.5,71.4,.271
49,49,2023-01-27,@,MIA,L,105,110,104.9,109.9,100.1,.464,.493,.632,51.9,63.6,5.0,5.8,,.565,19.4,5.9,.391,,.518,10.2,88.4,.259
50,50,2023-01-28,,CHI,L,109,128,112.2,131.8,97.2,.289,.337,.583,48.6,70.7,5.1,0.0,,.554,11.4,15.0,.205,,.691,11.8,88.2,.198
51,51,2023-01-30,@,PHI,W,119,109,114.6,105.0,103.8,.303,.293,.530,52.6,54.8,10.6,10.9,,.480,8.2,28.8,.242,,.535,16.6,81.4,.212
52,52,2023-02-01,@,PHI,L,94,105,95.7,106.9,98.3,.333,.437,.471,51.7,36.4,10.2,9.3,,.414,12.3,25.0,.253,,.526,16.8,82.9,.295
53,53,2023-02-03,@,MIN,W,127,120,123.6,116.8,102.7,.447,.271,.624,50.6,51.1,10.7,7.0,,.600,12.9,31.0,.294,,.552,16.8,70.7,.276
54,54,2023-02-05,@,CHO,W,119,113,121.9,115.8,97.6,.330,.253,.571,57.1,59.5,6.1,4.0,,.505,10.3,36.7,.297,,.614,13.9,81.0,.133
55,55,2023-02-07,,NYK,L,98,102,111.2,115.7,88.1,.304,.316,.547,48.8,62.2,4.5,10.5,,.506,10.9,22.0,.228,,.549,10.1,74.4,.160
56,56,2023-02-09,,DEN,W,115,104,115.9,104.8,99.2,.196,.278,.546,54.7,51.1,12.1,11.8,,.531,8.7,31.9,.124,,.524,14.5,82.1,.190
57,57,2023-02-11,,MIA,L,103,107,102.7,106.7,90.8,.264,.333,.530,48.9,59.5,12.0,10.9,,.489,15.6,25.5,.207,,.506,16.6,74.4,.247
58,58,2023-02-13,@,CHI,W,100,91,102.4,93.2,97.6,.235,.333,.560,48.8,63.2,8.2,9.2,,.519,16.0,17.1,.198,,.424,14.5,77.8,.209
59,59,2023-02-14,@,TOR,L,113,123,116.9,127.2,96.7,.214,.369,.615,42.0,60.5,6.2,3.4,,.589,16.4,25.0,.167,,.651,16.4,60.6,.181
60,60,2023-02-23,,DET,W,108,106,106.6,104.6,101.3,.242,.326,.514,50.5,69.2,6.9,12.8,,.474,10.2,23.5,.189,,.562,17.5,85.0,.185
61,61,2023-02-25,,IND,L,108,121,107.3,120.3,100.6,.422,.322,.506,55.0,45.7,4.0,13.6,,.422,10.9,30.0,.356,,.561,6.2,80.0,.101
62,62,2023-02-27,@,NOP,W,101,93,109.7,101.0,92.0,.329,.430,.558,53.1,58.3,9.8,2.0,,.513,14.2,27.5,.253,,.487,16.5,78.0,.250
63,63,2023-03-01,@,MIL,L,117,139,113.2,134.5,103.4,.309,.351,.548,52.1,51.2,2.9,13.2,,.505,10.9,24.0,.234,,.660,7.2,82.6,.160
64,64,2023-03-03,@,CHO,W,117,106,118.7,107.6,98.5,.221,.302,.620,55.3,45.7,9.1,7.4,,.593,16.0,33.3,.174,,.545,19.1,78.4,.269
65,65,2023-03-05,,POR,L,119,122,116.9,119.8,101.8,.369,.369,.609,45.2,69.0,10.8,5.6,,.565,10.1,14.0,.286,,.566,14.9,78.0,.337
66,66,2023-03-07,,MIL,L,123,134,115.5,125.8,106.5,.190,.300,.568,50.0,48.0,6.6,0.0,,.545,10.7,22.2,.140,,.654,14.7,90.3,.410
67,67,2023-03-09,,UTA,L,124,131,122.9,129.9,100.9,.330,.362,.576,46.2,47.7,8.9,7.4,,.553,8.5,27.9,.213,,.631,14.9,68.6,.227
68,68,2023-03-11,,MIA,W,126,114,114.8,103.9,99.4,.202,.374,.584,60.7,70.8,9.1,17.5,,.551,14.3,33.3,.172,,.505,14.2,88.6,.202
69,69,2023-03-14,@,SAS,L,114,132,114.6,132.7,99.5,.216,.299,.537,47.2,54.5,7.0,4.5,,.505,7.8,24.5,.165,,.694,13.1,80.6,.165
70,70,2023-03-16,@,PHO,L,113,116,112.0,114.9,100.9,.267,.326,.588,57.3,58.1,6.9,5.5,,.547,15.0,28.2,.221,,.550,12.6,83.7,.189
71,71,2023-03-18,@,LAC,W,113,108,112.1,107.1,100.8,.298,.369,.595,51.1,54.8,13.9,7.4,,.560,15.2,23.1,.226,,.500,13.0,73.5,.200
72,72,2023-03-19,@,LAL,L,105,111,106.4,112.5,98.7,.167,.373,.480,45.8,58.5,8.1,6.5,,.451,6.8,23.2,.127,,.545,14.0,77.5,.333
73,73,2023-03-21,,WAS,W,122,112,122.6,112.6,99.5,.313,.338,.670,56.0,62.8,7.0,9.8,,.613,14.2,19.4,.300,,.566,13.1,89.7,.217
74,74,2023-03-23,,NYK,W,111,106,113.4,108.3,97.9,.241,.368,.577,49.4,62.5,8.2,14.6,,.534,12.7,20.5,.207,,.489,11.6,72.9,.227
75,75,2023-03-26,,BRK,W,119,106,120.3,107.1,99.0,.329,.259,.611,51.6,66.7,7.1,5.4,,.571,10.2,23.7,.259,,.451,12.7,71.7,.264
76,76,2023-03-28,@,MEM,L,108,113,99.3,103.9,108.8,.150,.490,.507,49.0,58.5,8.3,14.8,,.480,13.1,16.0,.120,,.545,14.0,84.8,.193
77,77,2023-03-31,@,WAS,W,116,109,112.9,106.1,102.7,.295,.273,.583,48.5,59.1,1.9,25.5,,.545,9.1,14.3,.227,,.471,9.8,73.7,.095
78,78,2023-04-02,,DET,W,128,102,130.3,103.8,98.2,.533,.440,.691,51.9,69.8,11.2,13.3,,.687,13.1,19.4,.333,,.468,14.6,79.1,.372
79,79,2023-04-04,,CLE,L,113,117,120.9,125.2,93.5,.191,.258,.586,61.0,55.6,6.4,1.9,,.562,11.9,34.2,.146,,.589,7.9,87.2,.214
80,80,2023-04-06,,CLE,L,94,118,95.3,119.6,98.7,.229,.470,.514,48.1,63.6,8.1,16.0,,.476,18.7,21.4,.181,,.625,14.8,76.9,.091
81,81,2023-04-07,@,BRK,L,84,101,86.7,104.3,96.9,.195,.437,.445,55.9,54.8,6.2,12.8,,.397,18.2,30.0,.172,,.444,8.3,80.8,.247
82,82,2023-04-09,@,MIA,L,110,123,109.8,122.7,100.2,.267,.522,.547,49.4,76.3,13.0,2.6,,.517,12.2,26.0,.189,,.651,16.4,81.1,.181
